NOTE: column amd-gfx942 is INCOMPLETE (the run was killed); lanes after the last one written are absent, not clean
| lane/fixture                 | verdict    | apple-m4         | nvidia-nvidia-h100-80gb-hbm3-sm_90a | amd-gfx942       |
| et-reg-bootstrap-parallel/dupes | IDENTICAL x3 | 5e17e8c07de7964f | 5e17e8c07de7964f | 5e17e8c07de7964f |
| et-reg-bootstrap-parallel/hashed | IDENTICAL x3 | a62b714ab1e0ae24 | a62b714ab1e0ae24 | a62b714ab1e0ae24 |
| et-reg-bootstrap-parallel/negative | IDENTICAL x3 | a9c4589c8d79c6a9 | a9c4589c8d79c6a9 | a9c4589c8d79c6a9 |
| et-reg-bootstrap-parallel/odd | IDENTICAL x3 | c7241fe5a82049b3 | c7241fe5a82049b3 | c7241fe5a82049b3 |
| et-reg-bootstrap-parallel/ties | IDENTICAL x3 | f9f4327d4f1928cc | f9f4327d4f1928cc | f9f4327d4f1928cc |
| et-reg-bootstrap-parallel/wide | IDENTICAL x3 | d1c206224be7d638 | d1c206224be7d638 | d1c206224be7d638 |
| et-reg/base                  | IDENTICAL x3 | 754d8c127ecfc04d | 754d8c127ecfc04d | 754d8c127ecfc04d |
| et-reg/denormal              | IDENTICAL x3 | 19a23f6fea44befd | 19a23f6fea44befd | 19a23f6fea44befd |
| et-reg/denormal_ftz          | IDENTICAL x3 | 19a23f6fea44befd | 19a23f6fea44befd | 19a23f6fea44befd |
| et-reg/dupes                 | IDENTICAL x3 | 9a63fea590f79a67 | 9a63fea590f79a67 | 9a63fea590f79a67 |
| et-reg/hashed                | IDENTICAL x3 | 4e0a0d9a4670ed5f | 4e0a0d9a4670ed5f | 4e0a0d9a4670ed5f |
| et-reg/negative              | IDENTICAL x3 | 3fd3dff94cc79fc2 | 3fd3dff94cc79fc2 | 3fd3dff94cc79fc2 |
| et-reg/odd                   | IDENTICAL x3 | c9fe7c90673c2661 | c9fe7c90673c2661 | c9fe7c90673c2661 |
| et-reg/ties                  | IDENTICAL x3 | e7072e1c8fe0083c | e7072e1c8fe0083c | e7072e1c8fe0083c |
| et-reg/wide                  | IDENTICAL x3 | b745e53515f59cac | b745e53515f59cac | b745e53515f59cac |
| gbdt-adapter-clf/base        | IDENTICAL x3 | 933184700a044eb2 | 933184700a044eb2 | 933184700a044eb2 |
| gbdt-adapter-clf/denormal    | IDENTICAL x3 | 933184700a044eb2 | 933184700a044eb2 | 933184700a044eb2 |
| gbdt-adapter-clf/denormal_ftz | IDENTICAL x3 | 933184700a044eb2 | 933184700a044eb2 | 933184700a044eb2 |
| gbdt-adapter-clf/dupes       | IDENTICAL x3 | 6c3582dfcd94bc9c | 6c3582dfcd94bc9c | 6c3582dfcd94bc9c |
| gbdt-adapter-clf/hashed      | IDENTICAL x3 | dd5bb5e8c3018e9a | dd5bb5e8c3018e9a | dd5bb5e8c3018e9a |
| gbdt-adapter-clf/negative    | IDENTICAL x3 | 9aa127676f821c18 | 9aa127676f821c18 | 9aa127676f821c18 |
| gbdt-adapter-clf/odd         | IDENTICAL x3 | f8f56dac8e714ab8 | f8f56dac8e714ab8 | f8f56dac8e714ab8 |
| gbdt-adapter-clf/ties        | IDENTICAL x3 | 492cbf5fbc9e6304 | 492cbf5fbc9e6304 | 492cbf5fbc9e6304 |
| gbdt-adapter-clf/wide        | IDENTICAL x3 | 2c52f777f933c7cc | 2c52f777f933c7cc | 2c52f777f933c7cc |
