EXPECTED FAIL extra sticky count
MATCH old 107 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 108 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 109 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 110 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 111 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 112 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 113 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 114 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 115 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 116 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 117 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 11, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 1}
MATCH old 118 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 119 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 120 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 121 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 122 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 123 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 124 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 125 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 126 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 127 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 11, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 1}
MATCH old 128 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 129 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 11, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 1}
MATCH old 130 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 131 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 132 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 133 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 134 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 135 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 136 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 137 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 11, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 1}
MATCH old 138 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 139 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 140 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 141 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 11, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 1}
MATCH old 142 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 143 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 144 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 145 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 146 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 147 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 148 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 149 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 150 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 151 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 152 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 153 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 154 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 155 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 156 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 157 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 11, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 1}
MATCH old 158 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 11, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 1}
MATCH old 159 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 11, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 1}
MATCH old 160 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 161 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 162 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 11, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 1}
MATCH old 163 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 164 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 165 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 166 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 167 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 168 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 169 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 170 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 171 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 172 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 173 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 174 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 175 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 176 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 177 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 178 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
MATCH old 179 {'NOT_ATTEMPTED': 0, 'FUSED_RAN': 12, 'FUSED_REFUSED_REGIME': 0, 'FUSED_CORNER': 0}
