NOTE: --lanes scopes this diff to 5 lane(s); 0 other lane(s) the JSONs carry are not compared
NOTE: column cpu-amd-epyc-9754-128-core-processor is a CPU column: cpu_model='AMD EPYC 9754 128-Core Processor' column=cpu families=['_mojolearn_core_host', '_mojolearn_linalg_host', '_mojolearn_svm_host'] commit=0882d7a25d6fbdd8845418c4b4025e5bca76b651
| lane/fixture                 | verdict    | arm64            | cpu-amd-epyc-9754-128-core-processor |
|------------------------------|------------|------------------|------------------|
| svr/ties                     | infer  | IDENTICAL x2 | 0a371cbfd4cbe5c1 | 0a371cbfd4cbe5c1 |
| svr/ties                     | model  | IDENTICAL x2 | 490b7d9dbdf08c50 | 490b7d9dbdf08c50 |
| svr/ties                     | batch  | IDENTICAL x2 | c5728a83acf5f4c2 | c5728a83acf5f4c2 |
| svr/wide                     | infer  | IDENTICAL x2 | 62661f1f0efa01f4 | 62661f1f0efa01f4 |
| svr/wide                     | model  | IDENTICAL x2 | ed154067c6066391 | ed154067c6066391 |
| svr/wide                     | batch  | IDENTICAL x2 | 7589ad96ecc05db1 | 7589ad96ecc05db1 |

summary (infer/model): IDENTICAL=90
summary (batch): IDENTICAL=45
summary (rlpair): 
