NOTE: --lanes scopes this diff to 4 lane(s); 162 other lane(s) the JSONs carry are not compared
NOTE: column cpu-apple-m4 is a CPU column: cpu_model='Apple M4' column=cpu families=['_mojolearn_core_host', '_mojolearn_mamba_host'] commit=df617c6997cdf9f794c073c2d027dc68c9b1191f
| lane/fixture                 | verdict    | apple-m4         | nvidia-h100-sm_90a | amd-mi325x-gfx942 | cpu-apple-m4     |
|------------------------------|------------|------------------|------------------|------------------|------------------|
| mamba2/wide                  | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| mamba2/wide                  | batch  | IDENTICAL x4 | 0a20d6f3d8237f24 | 0a20d6f3d8237f24 | 0a20d6f3d8237f24 | 0a20d6f3d8237f24 |
| mamba3/base                  | infer  | IDENTICAL x4 | 6d73873ffe222457 | 6d73873ffe222457 | 6d73873ffe222457 | 6d73873ffe222457 |
| mamba3/base                  | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| mamba3/base                  | batch  | IDENTICAL x4 | a59631110897fda3 | a59631110897fda3 | a59631110897fda3 | a59631110897fda3 |
| mamba3/denormal              | infer  | IDENTICAL x4 | 2092a683dc18e94b | 2092a683dc18e94b | 2092a683dc18e94b | 2092a683dc18e94b |
| mamba3/denormal              | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| mamba3/denormal              | batch  | IDENTICAL x4 | 4182cf2b203fedea | 4182cf2b203fedea | 4182cf2b203fedea | 4182cf2b203fedea |
| mamba3/denormal_ftz          | infer  | IDENTICAL x4 | 2092a683dc18e94b | 2092a683dc18e94b | 2092a683dc18e94b | 2092a683dc18e94b |
| mamba3/denormal_ftz          | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| mamba3/denormal_ftz          | batch  | IDENTICAL x4 | 4182cf2b203fedea | 4182cf2b203fedea | 4182cf2b203fedea | 4182cf2b203fedea |
| mamba3/dupes                 | infer  | IDENTICAL x4 | 572e878fb8e538ce | 572e878fb8e538ce | 572e878fb8e538ce | 572e878fb8e538ce |
| mamba3/dupes                 | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| mamba3/dupes                 | batch  | IDENTICAL x4 | 605d8473f84fd235 | 605d8473f84fd235 | 605d8473f84fd235 | 605d8473f84fd235 |
| mamba3/hashed                | infer  | IDENTICAL x4 | c1862ccad54884ed | c1862ccad54884ed | c1862ccad54884ed | c1862ccad54884ed |
| mamba3/hashed                | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| mamba3/hashed                | batch  | IDENTICAL x4 | b922b29fdddfc3d6 | b922b29fdddfc3d6 | b922b29fdddfc3d6 | b922b29fdddfc3d6 |
| mamba3/negative              | infer  | IDENTICAL x4 | 27f5cfbb4648281d | 27f5cfbb4648281d | 27f5cfbb4648281d | 27f5cfbb4648281d |
| mamba3/negative              | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| mamba3/negative              | batch  | IDENTICAL x4 | da761d278ab6655a | da761d278ab6655a | da761d278ab6655a | da761d278ab6655a |
| mamba3/odd                   | infer  | IDENTICAL x4 | 6d73873ffe222457 | 6d73873ffe222457 | 6d73873ffe222457 | 6d73873ffe222457 |
| mamba3/odd                   | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| mamba3/odd                   | batch  | IDENTICAL x4 | a59631110897fda3 | a59631110897fda3 | a59631110897fda3 | a59631110897fda3 |
| mamba3/ties                  | infer  | IDENTICAL x4 | 1b23621d97f54640 | 1b23621d97f54640 | 1b23621d97f54640 | 1b23621d97f54640 |
| mamba3/ties                  | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| mamba3/ties                  | batch  | IDENTICAL x4 | a93eb5738c206655 | a93eb5738c206655 | a93eb5738c206655 | a93eb5738c206655 |
| mamba3/wide                  | infer  | IDENTICAL x4 | 229127d013a0eeb7 | 229127d013a0eeb7 | 229127d013a0eeb7 | 229127d013a0eeb7 |
| mamba3/wide                  | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| mamba3/wide                  | batch  | IDENTICAL x4 | ac07fbd366e6fce2 | ac07fbd366e6fce2 | ac07fbd366e6fce2 | ac07fbd366e6fce2 |

summary (infer/model): IDENTICAL=36, N/A=36
summary (batch): IDENTICAL=36
require-columns 4 over ['mamba1', 'mamba2', 'mamba2-dtlimit', 'mamba3']: OK
