EXPECTED FAIL: loss
EXPECTED FAIL: gradients
EXPECTED FAIL: parameters
EXPECTED FAIL: m
EXPECTED FAIL: v
EXPECTED FAIL: flags
EXPECTED FAIL: same legacy arm
EXPECTED FAIL: same guarded arm
MATCH step 611 loss 1.6236786842346191
MATCH step 612 loss 0.9321458339691162
MATCH step 613 loss 0.8793691396713257
MATCH step 614 loss 1.2844281196594238
MATCH step 615 loss 1.343934178352356
MATCH step 616 loss 1.5725455284118652
MATCH step 617 loss 1.7384291887283325
MATCH step 618 loss 1.761157512664795
MATCH step 619 loss 1.7209445238113403
MATCH step 620 loss 1.9680454730987549
MATCH step 621 loss 1.420357346534729
MATCH step 622 loss 1.3688998222351074
MATCH step 623 loss 1.3335068225860596
MATCH step 624 loss 1.2134830951690674
MATCH step 625 loss 0.9141147136688232
MATCH step 626 loss 5.901769638061523
MATCH step 627 loss 4.715695381164551
MATCH step 628 loss 3.4726192951202393
MATCH step 629 loss 3.073777675628662
MATCH step 630 loss 3.1660571098327637
MATCH step 631 loss 3.4518918991088867
MATCH step 632 loss 3.254699468612671
MATCH step 633 loss 3.312835693359375
MATCH step 634 loss 3.1742522716522217
MATCH step 635 loss 2.9642300605773926
MATCH step 636 loss 2.6096410751342773
MATCH step 637 loss 2.840515613555908
MATCH step 638 loss 2.483051300048828
MATCH step 639 loss 2.4597725868225098
MATCH step 640 loss 3.170647144317627
MATCH step 641 loss 3.8926219940185547
MATCH step 642 loss 4.039397239685059
MATCH step 643 loss 2.8087382316589355
MATCH step 644 loss 3.7492823600769043
MATCH step 645 loss 3.2190332412719727
MATCH step 646 loss 2.676241874694824
MATCH step 647 loss 2.393589496612549
MATCH step 648 loss 2.647940158843994
MATCH step 649 loss 3.6313300132751465
MATCH step 650 loss 2.9737842082977295
MATCH step 651 loss 3.6640281677246094
MATCH step 652 loss 3.5305287837982178
MATCH step 653 loss 3.8165745735168457
MATCH step 654 loss 3.291689872741699
MATCH step 655 loss 3.6614990234375
MATCH step 656 loss 2.685723304748535
MATCH step 657 loss 3.3460540771484375
MATCH step 658 loss 2.8253676891326904
MATCH step 659 loss 2.5784149169921875
MATCH step 660 loss 2.9694905281066895
MATCH step 661 loss 2.9031102657318115
MATCH step 662 loss 2.5301125049591064
MATCH step 663 loss 1.865738868713379
MATCH step 664 loss 1.9332671165466309
MATCH step 665 loss 1.8304203748703003
MATCH step 666 loss 3.077583074569702
MATCH step 667 loss 2.82901668548584
MATCH step 668 loss 2.5523853302001953
MATCH step 669 loss 2.3003854751586914
MATCH step 670 loss 2.969802141189575
MATCH step 671 loss 3.0271191596984863
MATCH step 672 loss 2.3985207080841064
MATCH step 673 loss 3.822803258895874
MATCH step 674 loss 2.499474287033081
