NOTE: --require-columns defaults to 2 (2026-09-20): every compared cell must rest on at least two real hashes, or it was not compared. Pass --require-columns 0 to turn the floor off, or a higher N to demand more.
NOTE: column cpu-apple-m4 is a CPU column: cpu_model='Apple M4' column=cpu families=['_mojolearn_arima_host', '_mojolearn_byte_lm_host', '_mojolearn_core_host', '_mojolearn_embedding_host', '_mojolearn_embedding_infer_host', '_mojolearn_estimators_host', '_mojolearn_forecast_host', '_mojolearn_forest_host', '_mojolearn_gbdt_host', '_mojolearn_gp_host', '_mojolearn_gp_infer_host', '_mojolearn_hdbscan_host', '_mojolearn_hdbscan_infer_host', '_mojolearn_ivf_host', '_mojolearn_ivf_search_host', '_mojolearn_kernel_methods_host', '_mojolearn_linalg_host', '_mojolearn_mamba_host', '_mojolearn_metrics_host', '_mojolearn_mixture_host', '_mojolearn_mixture_infer_host', '_mojolearn_neural_host', '_mojolearn_preprocessing_host', '_mojolearn_resample_host', '_mojolearn_rf_host', '_mojolearn_solver_host', '_mojolearn_svm_host', '_mojolearn_tokenizer_host', '_mojolearn_training_host', '_mojolearn_transformer_host', '_mojolearn_trees_host', '_mojolearn_tsa_host'] commit=51f93ced484d8e32e6e5f6f60f1fbe01ec207dd5
NOTE: column cpu-apple-m4 is a PARTIAL COLUMN: it left out batch, rlpair. Those parts are absent because they were not run, not because they agree; it is refused as a record
NOTE: column arm64 is a PARTIAL COLUMN: it left out batch, rlpair. Those parts are absent because they were not run, not because they agree; it is refused as a record
| lane/fixture                 | verdict    | cpu-apple-m4     | arm64            |
| gbdt-adapter-clf/denormal    | IDENTICAL x2 | 933184700a044eb2 | 933184700a044eb2 |
| gbdt-adapter-clf/odd         | IDENTICAL x2 | f8f56dac8e714ab8 | f8f56dac8e714ab8 |
| gbdt-adapter-reg/base        | IDENTICAL x2 | 3f8aef8d73be249c | 3f8aef8d73be249c |
| gbdt-adapter-reg/denormal    | IDENTICAL x2 | 400f099e655dc453 | 400f099e655dc453 |
| gbdt-adapter-reg/odd         | IDENTICAL x2 | 7b54ca9d69e29714 | 7b54ca9d69e29714 |
| gbdt-adapter-score-weighted/base | IDENTICAL x2 | ae3c39664f27e85c | ae3c39664f27e85c |
| gbdt-adapter-score-weighted/denormal | IDENTICAL x2 | 711523108c778756 | 711523108c778756 |
| gbdt-adapter-score-weighted/odd | IDENTICAL x2 | 8df47bf3ffefa2cb | 8df47bf3ffefa2cb |
| gbdt-bfa-quantile/base       | IDENTICAL x2 | 7baf538ef416d66b | 7baf538ef416d66b |
| gbdt-bfa-quantile/denormal   | IDENTICAL x2 | 55310eca0c4caec1 | 55310eca0c4caec1 |
| gbdt-bfa-quantile/odd        | IDENTICAL x2 | 2fdd7eb3f4567b1b | 2fdd7eb3f4567b1b |
| gbdt-binary-columns/base     | IDENTICAL x2 | 9ce09bb9d2dcbef9 | 9ce09bb9d2dcbef9 |
| gbdt-binary-columns/denormal | IDENTICAL x2 | 70c1b8d2bce9a8b4 | 70c1b8d2bce9a8b4 |
| gbdt-binary-columns/odd      | IDENTICAL x2 | d1651de1c56053f0 | d1651de1c56053f0 |
| gbdt-border-types/base       | IDENTICAL x2 | e4235bf83cc54711 | e4235bf83cc54711 |
| gbdt-border-types/denormal   | IDENTICAL x2 | e4235bf83cc54711 | e4235bf83cc54711 |
| gbdt-border-types/odd        | IDENTICAL x2 | 245fd5fdcf343c11 | 245fd5fdcf343c11 |
| gbdt-catboost-defaults/base  | IDENTICAL x2 | eadf1c1b89abcc9a | eadf1c1b89abcc9a |
| gbdt-catboost-defaults/denormal | IDENTICAL x2 | 46ddc381455e249e | 46ddc381455e249e |
| gbdt-catboost-defaults/odd   | IDENTICAL x2 | f7c2d1fb8d6b65fd | f7c2d1fb8d6b65fd |
| gbdt-categorical-ctr-tables/base | IDENTICAL x2 | 9aef0c9ccfa6907c | 9aef0c9ccfa6907c |
| gbdt-categorical-ctr-tables/denormal | IDENTICAL x2 | 9aef0c9ccfa6907c | 9aef0c9ccfa6907c |
| gbdt-categorical-ctr-tables/odd | IDENTICAL x2 | 2b3fac1172a1b684 | 2b3fac1172a1b684 |
| gbdt-categorical-ctr/base    | IDENTICAL x2 | 3c492b90c998f095 | 3c492b90c998f095 |
| gbdt-categorical-ctr/denormal | IDENTICAL x2 | 3c492b90c998f095 | 3c492b90c998f095 |
| gbdt-categorical-ctr/odd     | IDENTICAL x2 | 3f1f7468b711f825 | 3f1f7468b711f825 |
| gbdt-depthwise/base          | IDENTICAL x2 | 38726fc0c93c0bff | 38726fc0c93c0bff |
| gbdt-depthwise/denormal      | IDENTICAL x2 | 64ba350c759ff2e9 | 64ba350c759ff2e9 |
| gbdt-depthwise/odd           | IDENTICAL x2 | fb9e5c03088814f6 | fb9e5c03088814f6 |
| gbdt-exact-mae/base          | IDENTICAL x2 | 2c8a23ac5ef0b570 | 2c8a23ac5ef0b570 |
| gbdt-exact-mae/denormal      | IDENTICAL x2 | 8aadaf501b445bb2 | 8aadaf501b445bb2 |
| gbdt-exact-mae/odd           | IDENTICAL x2 | 62e0e9af15af59e8 | 62e0e9af15af59e8 |
| gbdt-feature-freq/base       | IDENTICAL x2 | 7d9c56b51213cb42 | 7d9c56b51213cb42 |
| gbdt-feature-freq/denormal   | IDENTICAL x2 | e7f1da14d1a9794b | e7f1da14d1a9794b |
| gbdt-feature-freq/odd        | IDENTICAL x2 | c481331145bfb998 | c481331145bfb998 |
| gbdt-lossguide-newtoncosine/base | IDENTICAL x2 | b9a66e78b1e9dd1d | b9a66e78b1e9dd1d |
| gbdt-lossguide-newtoncosine/denormal | IDENTICAL x2 | 6e1370724c044744 | 6e1370724c044744 |
| gbdt-lossguide-newtoncosine/odd | IDENTICAL x2 | 3f2758d421e0a9a6 | 3f2758d421e0a9a6 |
| gbdt-lossguide/base          | IDENTICAL x2 | bc3017cb29615105 | bc3017cb29615105 |
| gbdt-lossguide/denormal      | IDENTICAL x2 | b0a6d4a26ed4d77c | b0a6d4a26ed4d77c |
| gbdt-lossguide/odd           | IDENTICAL x2 | 9fd309c55a93e6c3 | 9fd309c55a93e6c3 |
| gbdt-multiclass-defaults/base | IDENTICAL x2 | a6da1a0f57cd3925 | a6da1a0f57cd3925 |
| gbdt-multiclass-defaults/denormal | IDENTICAL x2 | 46687313a79031de | 46687313a79031de |
| gbdt-multiclass-defaults/odd | IDENTICAL x2 | 65af4bdf7da87d64 | 65af4bdf7da87d64 |
| gbdt-multiclass/base         | IDENTICAL x2 | a5f1e32eedd64780 | a5f1e32eedd64780 |
| gbdt-multiclass/denormal     | IDENTICAL x2 | 148a04f75e8506db | 148a04f75e8506db |
