NOTE: column cuda-4090 is INCOMPLETE (the run was killed); lanes after the last one written are absent, not clean
| lane/fixture                 | verdict    | cuda-4090        | cuda-4090        |
| logistic/hashed              | IDENTICAL x2 | ec4fd3f1b3f90393 | ec4fd3f1b3f90393 |
| logistic/negative            | IDENTICAL x2 | b50b9cbe101d71d8 | b50b9cbe101d71d8 |
| logistic/odd                 | IDENTICAL x2 | 3c0d0924516a37e8 | 3c0d0924516a37e8 |
| logistic/ties                | IDENTICAL x2 | aa9b1fa93dc2ad08 | aa9b1fa93dc2ad08 |
| logistic/wide                | IDENTICAL x2 | 4e980d6d6bb17dd2 | 4e980d6d6bb17dd2 |
| mamba1/base                  | IDENTICAL x2 | 1609902abaf80a04 | 1609902abaf80a04 |
| mamba1/denormal              | IDENTICAL x2 | b7b8e653d7d0f153 | b7b8e653d7d0f153 |
| mamba1/denormal_ftz          | IDENTICAL x2 | b7b8e653d7d0f153 | b7b8e653d7d0f153 |
| mamba1/dupes                 | IDENTICAL x2 | 2ac98fad7386a721 | 2ac98fad7386a721 |
| mamba1/hashed                | IDENTICAL x2 | 062931419c55ee5a | 062931419c55ee5a |
| mamba1/negative              | IDENTICAL x2 | 0a83c66670f92b55 | 0a83c66670f92b55 |
| mamba1/odd                   | IDENTICAL x2 | 1609902abaf80a04 | 1609902abaf80a04 |
| mamba1/ties                  | IDENTICAL x2 | c821893bfb5ba46c | c821893bfb5ba46c |
| mamba1/wide                  | IDENTICAL x2 | 0e7b2cee60a53003 | 0e7b2cee60a53003 |
| mamba2/base                  | IDENTICAL x2 | 5b05a3ecbd70248e | 5b05a3ecbd70248e |
| mamba2/denormal              | IDENTICAL x2 | a143926e29ac0813 | a143926e29ac0813 |
| mamba2/denormal_ftz          | IDENTICAL x2 | a143926e29ac0813 | a143926e29ac0813 |
| mamba2/dupes                 | IDENTICAL x2 | c565acd587b39ab2 | c565acd587b39ab2 |
| mamba2/hashed                | IDENTICAL x2 | 2689cc3187df61fd | 2689cc3187df61fd |
| mamba2/negative              | IDENTICAL x2 | 3506202ab66d8a1f | 3506202ab66d8a1f |
| mamba2/odd                   | IDENTICAL x2 | 5b05a3ecbd70248e | 5b05a3ecbd70248e |
| mamba2/ties                  | IDENTICAL x2 | 48a4bec7b6f6e4f6 | 48a4bec7b6f6e4f6 |
| mamba2/wide                  | IDENTICAL x2 | 0d1022f692c144dd | 0d1022f692c144dd |
| mamba3/base                  | IDENTICAL x2 | b282d7e1efb22e6b | b282d7e1efb22e6b |
| mamba3/denormal              | IDENTICAL x2 | c60d9b83bb93becc | c60d9b83bb93becc |
| mamba3/denormal_ftz          | IDENTICAL x2 | c60d9b83bb93becc | c60d9b83bb93becc |
| mamba3/dupes                 | IDENTICAL x2 | 75b58c82f71e9251 | 75b58c82f71e9251 |
| mamba3/hashed                | IDENTICAL x2 | 83aed4df14d5d1fa | 83aed4df14d5d1fa |
| mamba3/negative              | IDENTICAL x2 | a7692db129889d0e | a7692db129889d0e |
| mamba3/odd                   | IDENTICAL x2 | b282d7e1efb22e6b | b282d7e1efb22e6b |
| mamba3/ties                  | IDENTICAL x2 | 8d73a195a2ddf294 | 8d73a195a2ddf294 |
| mamba3/wide                  | IDENTICAL x2 | 6442dafe99cc58c3 | 6442dafe99cc58c3 |
| metrics/base                 | IDENTICAL x2 | 2e2d6c84f00b9a0b | 2e2d6c84f00b9a0b |
| metrics/denormal             | IDENTICAL x2 | 70d525921f2192ca | 70d525921f2192ca |
| metrics/denormal_ftz         | IDENTICAL x2 | 70d525921f2192ca | 70d525921f2192ca |
| metrics/dupes                | IDENTICAL x2 | b9bf5106a8b03644 | b9bf5106a8b03644 |
| metrics/hashed               | IDENTICAL x2 | 2a276b0f2347d198 | 2a276b0f2347d198 |
| metrics/negative             | IDENTICAL x2 | 745d2eae0be9da2c | 745d2eae0be9da2c |
| metrics/odd                  | IDENTICAL x2 | 8a7b2852763f246e | 8a7b2852763f246e |
| metrics/ties                 | IDENTICAL x2 | ea3e4d8076a7ea42 | ea3e4d8076a7ea42 |
| metrics/wide                 | IDENTICAL x2 | 1244dee823ddccf9 | 1244dee823ddccf9 |
| mlp/base                     | IDENTICAL x2 | 3204ed07bdda3cc6 | 3204ed07bdda3cc6 |
| mlp/denormal                 | IDENTICAL x2 | 9c56c5a5b7965c6f | 9c56c5a5b7965c6f |
| mlp/denormal_ftz             | IDENTICAL x2 | 9c56c5a5b7965c6f | 9c56c5a5b7965c6f |
| mlp/dupes                    | IDENTICAL x2 | 3204ed07bdda3cc6 | 3204ed07bdda3cc6 |
| mlp/hashed                   | IDENTICAL x2 | 977a37258af573f0 | 977a37258af573f0 |
| mlp/negative                 | IDENTICAL x2 | 3909a61277aad132 | 3909a61277aad132 |
| mlp/odd                      | IDENTICAL x2 | 451d36242d1772be | 451d36242d1772be |
| mlp/ties                     | IDENTICAL x2 | 2f08d18719517d3b | 2f08d18719517d3b |
| mlp/wide                     | IDENTICAL x2 | 7d2d9a297e5f0507 | 7d2d9a297e5f0507 |
| ols/base                     | IDENTICAL x2 | 3d1d7c30b12d9872 | 3d1d7c30b12d9872 |
| ols/denormal                 | IDENTICAL x2 | f0e2e46f2203e17d | f0e2e46f2203e17d |
| ols/denormal_ftz             | IDENTICAL x2 | f0e2e46f2203e17d | f0e2e46f2203e17d |
| ols/dupes                    | IDENTICAL x2 | 5d93af9edf61d3e7 | 5d93af9edf61d3e7 |
| ols/hashed                   | IDENTICAL x2 | 7a4cc4b643207e04 | 7a4cc4b643207e04 |
| ols/negative                 | IDENTICAL x2 | 737566e6c5e95e7d | 737566e6c5e95e7d |
| ols/odd                      | IDENTICAL x2 | bfb2368a5a4871ba | bfb2368a5a4871ba |
| ols/ties                     | IDENTICAL x2 | c73c0c1158ebcb9e | c73c0c1158ebcb9e |
| ols/wide                     | IDENTICAL x2 | 880f803e2a9840cf | 880f803e2a9840cf |
| pca-whiten/base              | IDENTICAL x2 | a6f7b7e7740ab870 | a6f7b7e7740ab870 |
| pca-whiten/denormal          | IDENTICAL x2 | 00315760b27195a0 | 00315760b27195a0 |
| pca-whiten/denormal_ftz      | IDENTICAL x2 | 00315760b27195a0 | 00315760b27195a0 |
| pca-whiten/dupes             | IDENTICAL x2 | fdeed1b8a376df1c | fdeed1b8a376df1c |
| pca-whiten/hashed            | IDENTICAL x2 | bd54e912967247a3 | bd54e912967247a3 |
| pca-whiten/negative          | IDENTICAL x2 | 031422ed11e3113c | 031422ed11e3113c |
| pca-whiten/odd               | IDENTICAL x2 | fa3b5c3d4156b2f5 | fa3b5c3d4156b2f5 |
| pca-whiten/ties              | IDENTICAL x2 | 800aa9562d74205a | 800aa9562d74205a |
| pca-whiten/wide              | IDENTICAL x2 | ecc05204c013c1dc | ecc05204c013c1dc |
| pca/base                     | IDENTICAL x2 | 426e098860cb885e | 426e098860cb885e |
| pca/denormal                 | IDENTICAL x2 | 632dd2d41a856846 | 632dd2d41a856846 |
| pca/denormal_ftz             | IDENTICAL x2 | 632dd2d41a856846 | 632dd2d41a856846 |
| pca/dupes                    | IDENTICAL x2 | f0d80567379e28e4 | f0d80567379e28e4 |
| pca/hashed                   | IDENTICAL x2 | 9c43c580f84b913e | 9c43c580f84b913e |
| pca/negative                 | IDENTICAL x2 | c4903e2bddacb305 | c4903e2bddacb305 |
| pca/odd                      | IDENTICAL x2 | 2bde4e929e103470 | 2bde4e929e103470 |
| pca/ties                     | IDENTICAL x2 | 2cc3098a82f5e29c | 2cc3098a82f5e29c |
| pca/wide                     | IDENTICAL x2 | ee30334357c2fe6e | ee30334357c2fe6e |
| rf-clf/base                  | IDENTICAL x2 | 21178dc5457bf5dc | 21178dc5457bf5dc |
| rf-clf/denormal              | IDENTICAL x2 | 9ee018b4ad7d8c6c | 9ee018b4ad7d8c6c |
| rf-clf/denormal_ftz          | IDENTICAL x2 | 9ee018b4ad7d8c6c | 9ee018b4ad7d8c6c |
| rf-clf/dupes                 | IDENTICAL x2 | 941ea7485b906b92 | 941ea7485b906b92 |
| rf-clf/hashed                | IDENTICAL x2 | 30000a54b1ebf87f | 30000a54b1ebf87f |
| rf-clf/negative              | IDENTICAL x2 | 5c321c2a1e99f705 | 5c321c2a1e99f705 |
| rf-clf/odd                   | IDENTICAL x2 | 8eadf0d0c523cf9a | 8eadf0d0c523cf9a |
| rf-clf/ties                  | IDENTICAL x2 | 578c313bdad14449 | 578c313bdad14449 |
| rf-clf/wide                  | IDENTICAL x2 | e57dc48ebb4fda48 | e57dc48ebb4fda48 |
| rf-reg/base                  | IDENTICAL x2 | f032017cfd1c73dd | f032017cfd1c73dd |
| rf-reg/denormal              | IDENTICAL x2 | feed3869ba06eaf7 | feed3869ba06eaf7 |
| rf-reg/denormal_ftz          | IDENTICAL x2 | feed3869ba06eaf7 | feed3869ba06eaf7 |
| rf-reg/dupes                 | IDENTICAL x2 | 55f5becd2a3a172c | 55f5becd2a3a172c |
| rf-reg/hashed                | IDENTICAL x2 | c755113ac878c8b9 | c755113ac878c8b9 |
| rf-reg/negative              | IDENTICAL x2 | cd81c456c75aaaf0 | cd81c456c75aaaf0 |
| rf-reg/odd                   | IDENTICAL x2 | 33f207a8fab32866 | 33f207a8fab32866 |
| rf-reg/ties                  | IDENTICAL x2 | ec6e7b28cd0d16a9 | ec6e7b28cd0d16a9 |
| rf-reg/wide                  | IDENTICAL x2 | 8d9b05172d7a3777 | 8d9b05172d7a3777 |
| ridge/base                   | IDENTICAL x2 | a91478be750dc756 | a91478be750dc756 |
| ridge/denormal               | IDENTICAL x2 | 2eed6e454ed965da | 2eed6e454ed965da |
| ridge/denormal_ftz           | IDENTICAL x2 | 2eed6e454ed965da | 2eed6e454ed965da |
| ridge/dupes                  | IDENTICAL x2 | c69b8fef7932da21 | c69b8fef7932da21 |
| ridge/hashed                 | IDENTICAL x2 | fb5037b3d70d60ee | fb5037b3d70d60ee |
| ridge/negative               | IDENTICAL x2 | 473e3ff40fc67b0e | 473e3ff40fc67b0e |
| ridge/odd                    | IDENTICAL x2 | bdaf14e02a8f07ec | bdaf14e02a8f07ec |
| ridge/ties                   | IDENTICAL x2 | 42410e35cdae30cb | 42410e35cdae30cb |
| ridge/wide                   | IDENTICAL x2 | 7215c2605901cdc6 | 7215c2605901cdc6 |
| transformer-bf16w/base       | ONE-COLUMN | (not run)        | 9b332edb3ff5db8b |
| transformer-bf16w/denormal   | ONE-COLUMN | (not run)        | 84a4677f74abc838 |
| transformer-bf16w/denormal_ftz | ONE-COLUMN | (not run)        | 84a4677f74abc838 |
| transformer-bf16w/dupes      | ONE-COLUMN | (not run)        | 53d9782ebf264539 |
| transformer-bf16w/hashed     | ONE-COLUMN | (not run)        | 74c73daad47e4425 |
| transformer-bf16w/negative   | ONE-COLUMN | (not run)        | aa1dda0755d424f6 |
| transformer-bf16w/odd        | ONE-COLUMN | (not run)        | 9b332edb3ff5db8b |
| transformer-bf16w/ties       | ONE-COLUMN | (not run)        | 4c62dc1a0020c6d6 |
| transformer-bf16w/wide       | ONE-COLUMN | (not run)        | 2fd232d53d3a0b6e |
| transformer/base             | IDENTICAL x2 | f2cb3899e9bfe21c | f2cb3899e9bfe21c |
| transformer/denormal         | IDENTICAL x2 | 4306fddef0d5bade | 4306fddef0d5bade |
| transformer/denormal_ftz     | IDENTICAL x2 | 4306fddef0d5bade | 4306fddef0d5bade |
| transformer/dupes            | IDENTICAL x2 | 2e146e72ab66bbee | 2e146e72ab66bbee |
| transformer/hashed           | IDENTICAL x2 | ca2348acad5f6129 | ca2348acad5f6129 |
| transformer/negative         | IDENTICAL x2 | 938854f687e7c862 | 938854f687e7c862 |
| transformer/odd              | IDENTICAL x2 | f2cb3899e9bfe21c | f2cb3899e9bfe21c |
| transformer/ties             | IDENTICAL x2 | dcf1e19520f0e035 | dcf1e19520f0e035 |
| transformer/wide             | IDENTICAL x2 | f7a91ebc01770736 | f7a91ebc01770736 |
| tsvd/base                    | IDENTICAL x2 | 8e8d20af1d08720c | 8e8d20af1d08720c |
| tsvd/denormal                | IDENTICAL x2 | 36d9e3d5aaadcd92 | 36d9e3d5aaadcd92 |
