step	lr_f32_hex	loss_mean	seconds	hash_seconds	state_sha256	gradient_sha256	losses_sha256_16	hash_scheme	label
2052	39e16311	3.567274	100.474	4.328	f94f850005e2e2bcebfb5f60c5525058d3253b3550a998a339bdf3abbaa570f1	18e87fbbfd507d78e2a07043cd98c0f0fc42ae6060e3f0a01ca56905a926ee41	1dc2cb517497e292	sliced-sha256-8.v2	nvidia-A-3
2053	39e14ccc	3.510027	100.728	3.986	46fe3ef7a71f8054497ed6195b26b132b2318c4db0694266a90e13b764d4e8ce	21683d0ed795ff9e940a9bf8879b768f93331783d247faaa1c5787b8e0671e95	5ff991081edb2bd7	sliced-sha256-8.v2	nvidia-A-3
2054	39e13685	3.567876	103.696	3.889	2e83e36bbf05e88c9564aa60b2d33e122cb43680a1ef22b0cc1e9344737c37dc	24bf24e6dd60003cb2599557feff3b0c69685af1ebd0576dd38ebe56435315ca	e6e30cf92ed237d7	sliced-sha256-8.v2	nvidia-A-3
2055	39e1203d	3.535698	100.634	3.868	472c8e150e543a747317d7beb582a866f30277ab60a4ce4dd60165884b6b40e0	daa0e48514ead3c208a9de76e91dfb5416fdc06070fd47fb9e46c96609eeb240	fffb3e8321fa442c	sliced-sha256-8.v2	nvidia-A-3
2056	39e109f3	3.533963	100.565	3.788	2fd5df55c5f47eae83f5fac184d65da61cf00569a66a24f17a57f203435fe6ab	432891564398cc893584c0fcfe1d35ab3d5f76c4667d92db990b658aca297299	34a256c6f23de738	sliced-sha256-8.v2	nvidia-A-3
2057	39e0f3a8	3.580590	101.034	4.117	2123abd503c10243474953e2935fd9e92a2b075c602d7f807e527a4f4662ae5a	a26855057d949f94b5fed7f0fd5366a4a94e1e69eb2477702c88369ed1a696c2	6624affa99385fbd	sliced-sha256-8.v2	nvidia-A-3
2058	39e0dd5b	3.547101	101.458	4.036	26f59c90fea0e3c3bcf0227abd9163af07250f49e2f10ed14fb82bf6cbec3d25	a5fe211792efa5353bb50b175c74773d7e6cb6e488e4932057d0855fab571a3a	b5ebfdc9566c3727	sliced-sha256-8.v2	nvidia-A-3
2059	39e0c70d	3.584509	100.902	4.046	86c034be507312220c387ea27eae6e1fb06745c0d37673b4a726376f4ca03f3b	7dd5a7053be52e2585e2da5c7271d0fe5b603195813005e993252866f788465f	448d145774ce44e8	sliced-sha256-8.v2	nvidia-A-3
2060	39e0b0be	3.592054	100.663	3.939	97b5f42bacd100a7961bbb04c1e45475b7e5b6a6002e4b066d094f58f220535f	3b7b6c7fcefd1b87e99f885da5a6685de5b4e93fc730332a535bdfbaf8c545d2	70c5ea98414001e2	sliced-sha256-8.v2	nvidia-A-3
2061	39e09a6d	3.553967	100.462	3.859	d0cb90faf00b7ae972d0e9b3c72ddf934a19546069d434997bed392586e5cc24	3b94278e2311c89416647f4f8ea33b428357029d8cf81045e415ebe825001f3c	b27226b961341b38	sliced-sha256-8.v2	nvidia-A-3
2062	39e0841a	3.588488	101.321	3.892	cb22d237cdaebaf3fb3f586ac2d2e0608c5db5398175f3f625b5e56fc1ec2e7a	2c75be5486636d2e088636c9449b0f8700db1c3dfd8fc634f62de190a093cf56	a7346915adab387d	sliced-sha256-8.v2	nvidia-A-3
2063	39e06dc6	3.507824	101.599	4.099	3d5788fb5b75ea1f2086523deddd7261c7b18c6501e8a5860c393fbc41007599	1b58f6915b8bb70461c20c36cdc710d44f513f97b32d6055b2cd86ec9e63bb17	ee0235d591169a59	sliced-sha256-8.v2	nvidia-A-3
2064	39e05770	3.600431	100.560	4.000	270b14304068a1e2eaf4f9793164bf9b95b62977b7006fc50b9a442398c1deec	d1b919019c87a7caeaf33e7404c681d76f158bb1fd21288ea1f9a5eaf8cc0d1c	bea60b1992a8165e	sliced-sha256-8.v2	nvidia-A-3
2065	39e04119	3.546875	100.741	3.886	64830ea70a5c5906d866a1ee1f0c2ff5c22c3868ae019892334574e3913b7702	ceefaa7791f2dfd628c02cc5d552b076a466b28d046cdb5ae83d077dd8416759	45efeee32e2590bf	sliced-sha256-8.v2	nvidia-A-3
2066	39e02ac1	3.547202	101.447	3.867	9987968f8ea691797bad037619c87010c2e44bcc893b334c3097337d38edb7a4	beb29dfb22c1179ba1138cde9c4b28346e2b4e366b8e163822e2a1807b223b7c	b3c2b77f39994c00	sliced-sha256-8.v2	nvidia-A-3
2067	39e01467	3.508898	100.204	3.866	af0387883bce6f153955e423b8b3bef51bb9f7451d179d1c59eb2fc0cf0e4bb2	a8c3437803454757eca083995e3abecead17b0d13c4eb8c2366d078d06cd96c5	c5d4c3c7180474df	sliced-sha256-8.v2	nvidia-A-3
2068	39dffe0c	3.536835	101.985	3.875	b97c854894cbfc8303cbeabb116827ac1e825c671e562defa89e1562258e272c	c6103ae78562eebc7f686f64716ec04db4a6115312a4e8ee003adfa315754ca6	bd106d5561286477	sliced-sha256-8.v2	nvidia-A-3
2069	39dfe7af	3.542593	102.255	4.131	6000cccaa57d8770854405f2679504ad3b9c3fec55f465883844fb2d9286a006	1e83f2572c149f7e640b68a534f4038480ad06b46efa592d34bc6f13282f9062	2b4ecfbd27742dad	sliced-sha256-8.v2	nvidia-A-3
2070	39dfd151	3.567361	100.760	3.997	2330c66f595f9ba99a1e17f197b19791384cf3aadc0373d95f60d7947a2efb5c	8868eb7b4b2d8047ec016bf950384864f7ba9a3630819825d2c56094c5b24179	be88ab9adf592914	sliced-sha256-8.v2	nvidia-A-3
2071	39dfbaf1	3.559944	100.720	3.875	f0d470c516683b83b46603a90afad68b0c78ab73814efaf186898d54a1376f31	74dda5bfa8eda4c794698e3566cecd01545d6c36ceede3b984d03e2335447336	a37f4a9b20146f78	sliced-sha256-8.v2	nvidia-A-3
2072	39dfa490	3.512835	101.177	3.977	b49a8a994966348952b1c6a2fe0d85803f1358a6512e2b7a3a804e1efb1ba94f	4b01aefdf4e395c0c572d0a95a611bb1ed3b97f8b3982e3ab41770a6b56f7a89	a66f2d27f0bf687e	sliced-sha256-8.v2	nvidia-A-3
2073	39df8e2d	3.559534	100.610	3.939	bf094f49507855485373c53802f5817d5d42f643fee0b751f93cd33343fb8ec4	fa79ca3bd29f3d38f270f3392637b18dfe4eb3d3619e13309a67c29642ac025e	02bca7943e685d38	sliced-sha256-8.v2	nvidia-A-3
2074	39df77c9	3.541015	100.781	3.940	2bc95f7b03bb1d656eecff0c8a71b661ef67aa67f77376f718a9c79a649b62be	82dd5c45455460a1c958295039700206bfe13f88f6efdacf8e7d899e82173408	73425969e3793b9a	sliced-sha256-8.v2	nvidia-A-3
2075	39df6163	3.570304	101.525	4.012	8a1fc953f782cf2b5a304b58e8e4a9cee7fbe8b304cb125c554601e87a701295	707b412b474bd7b25f959ae2aac1d9f7fdcd5d5c8b43972751893c8f575d91c6	59ea7e3c8eae9314	sliced-sha256-8.v2	nvidia-A-3
2076	39df4afc	3.540637	100.763	3.955	0da845c40c5edb229a665a366d4d85202961cb0949a519d81769ff691db2c392	e0ac801d0ad7cad9ce020929a641247a51713359eb58d2ba416abe667f052510	d28d89d4c457109c	sliced-sha256-8.v2	nvidia-A-3
2077	39df3494	3.499612	101.063	3.954	c65ebef88144a35bdc25b7e7dc0fa9e10c9bb18d9628ce27c82b424859c84661	032ad22623fe0845faec4c597df8fcc8a93ea554aaa66d053ff4b4de1adf93cf	c95e0fc9e07a4390	sliced-sha256-8.v2	nvidia-A-3
2078	39df1e2a	3.519272	101.732	4.018	03132ac40ca2ffd973265d8ec8a792aafe9d5429453f4b3fe2dc8ab6d20402d4	b4e04f33e07e8b99085dc90dd563b0cfd2da3c958dc35e2dd84d04e5ac08a126	48e81fd73ad9fc20	sliced-sha256-8.v2	nvidia-A-3
2079	39df07bf	3.413323	100.680	4.061	0796c99588e2c9348f4e4789f1e52b68e385d8daaf44617b4d1c136768c5a7bd	77813bfe5ead6b952fce052c5a8d650fec2279be14f4cb8f4267c9e07fe25cdb	57fdc6ad571cbade	sliced-sha256-8.v2	nvidia-A-3
2080	39def152	3.444091	101.203	4.024	8b8e59e11e0b540c845b35298e48ab87c58986d15797c8b9988874b6a567ae39	42cd7d2e3aff8d54c4c0a6a9f1f9d5923497c84ab124299cedd0b499f165ed7a	b0c0a83703b2fd89	sliced-sha256-8.v2	nvidia-A-3
2081	39dedae4	3.447181	101.775	4.026	d33ddc7700bb72b0024a7ae3d109ea85bc3131cfd60fbf15f729819f6a772b4d	8c3c5859fa9f510276f08e7662d750393fc71c4fa94cbf5a80f1e827239f7ec1	d7bb769310609a64	sliced-sha256-8.v2	nvidia-A-3
2082	39dec474	3.439485	103.156	4.100	d3022a590aa57401d78582920ba558f44ce3c99f4bdb260a6c7a31bcc74a53ac	2acd5ba71bcb54813c3fb3a6826ddaf015ba6b687a42415131030f1ed5922e11	14f0d80368f96f99	sliced-sha256-8.v2	nvidia-A-3
2083	39deae03	3.424348	101.191	4.062	3f44c1cf171e5bd2c8a259ded70db0c8d4d926741a58d46cec789a0404cfc7fc	e167468eed4ee2de2660979cdcaeae3eaee45df944f5a83594447746243b3f9b	806d14e3216eb827	sliced-sha256-8.v2	nvidia-A-3
2084	39de9790	3.457441	102.638	4.001	d489d4eb419d06f82f4a5f38387008d86d05f8f04797ee91ea5999be9a944007	aac21fac76d90c274b248424bc155978209cc85be0a23f75086376c5bbd679e3	95e173fedd0d5011	sliced-sha256-8.v2	nvidia-A-3
2085	39de811d	3.427271	101.091	3.987	a65b5a2cb436f287009eb4775782610d9587129bc7ec9c79c6546e1452f97e3f	10f83d7d71405fc5f5467ef63c2e848d09eaf561903d0ff3792b8a7731383ff5	f6252095cf621534	sliced-sha256-8.v2	nvidia-A-3
2086	39de6aa7	3.436449	101.235	4.053	1fc2fa18c68be285c419f363480118139858b5a08e59ed410c2e1c0793864b47	a069b27937d71e7d2bf8d956894010f491db462fc896a14ba6b58e10b78fa6e0	27c7cb4991ad72d9	sliced-sha256-8.v2	nvidia-A-3
2087	39de5431	3.428898	101.336	3.988	80a7991ca925e88defb33f2f985651815435233208466ab03a3fbd51400ca513	fc76da2dbed748a1e6dfe9469bf8cd46259f13cf8f46504608ea4c69398582e1	97b9e51d5dc7e945	sliced-sha256-8.v2	nvidia-A-3
2088	39de3db8	3.377039	101.026	4.018	6ee8e21610b0aefbef93332efc530b598954e2cef5709e848fdb83ab95cb5834	e732d5cf9cc05dcda901e2ff013c77cf09e8a41b73495d865525b4fdaa2131bc	43a03195c641e80e	sliced-sha256-8.v2	nvidia-A-3
2089	39de273f	3.396649	101.163	4.073	42dfb60fb325ba9b97205e910381fd96a7af5683e7b6f29c9324a9f78455b09a	11f88181ece69bc734da34d49cd2611bb270d65bac0a742b22383d9a98561283	d53597197a0ac8b9	sliced-sha256-8.v2	nvidia-A-3
2090	39de10c4	3.516705	101.286	4.055	5fe70f96a9f67ecf148ee872d76c8f80463802ea4b5436c044880f474ac25110	d25b4ddbeb973f7fcd570b96ee47fbf2c5bc782c5c487b54a9fc4d09c5972ba0	cdb91136a221ba78	sliced-sha256-8.v2	nvidia-A-3
2091	39ddfa48	3.569972	100.969	4.053	df85812c632574523441ad3a78330680728e799d5534e8f6ac45e8333cad48a3	9d05481f57138f519f26ac0f820d5f7cf7f3a12d5b4860ec188e4e28d35caf5e	cc3eee914e72f8b2	sliced-sha256-8.v2	nvidia-A-3
2092	39dde3ca	3.592861	100.864	3.993	cccebcecf86d4a4ab4e850c996e131e592f95c4d94abe5e0ede1d28e67d6acac	66752d281a5f065382f15567aedae1ed1b868f613e9f05e6aef25d92780792cb	adb3173ad6d90b84	sliced-sha256-8.v2	nvidia-A-3
2093	39ddcd4b	3.515913	101.783	4.008	7ae4f4db52cd365efbea0ab5fd3239bd91b0d03ef6d638f7d8e1ddc8521d2090	ad0256b42e1aafcd7a23893f9f8f1bbb2f905386c15aa844d48213d973f61b48	26b983e0578c299c	sliced-sha256-8.v2	nvidia-A-3
2094	39ddb6ca	3.569271	100.860	3.974	711fb98a2fcb3ad40dc050ab3376de052e693a2468ddc325641a357b49b5d482	4d9b72397f61fcd5745731cd38477a1c061833e324f0674229d41faa9a174eb8	6f0f848512e699bd	sliced-sha256-8.v2	nvidia-A-3
2095	39dda048	3.579523	100.847	4.028	c46e0873fcfd0b42c6e2e5177b516c55e4a22bef4f413b3fcb63f463dde29dcf	9a276ac78f4900447c6e9c52fc0ec544a39eed6bc40d27ba00e7adbdc7b68747	9f6d839b814f90ee	sliced-sha256-8.v2	nvidia-A-3
2096	39dd89c5	3.551503	101.187	4.004	63c1690b703ef099a2a5ff456b7fb323b618bf0917b19b9b144e75d01c41cfb2	06be27b4e542bcc29ca32dec190258a7878beffa400d20b77ef0150b412a3d3d	599f029240d732cd	sliced-sha256-8.v2	nvidia-A-3
