lane	dataset	shape	arm	status	median_ms	min_ms	max_ms	rounds	ratio_ours_over	quality	hash	hash_stable	fit	fit_verdict	span
iforest	taxi	taxi-4110786x16	cuml-iforest-gpu	ok	360.1	332.1	1003.3	5	0.409	auc=0.551846	fa3fa07799f7dc28	True	trees=- leaves=- depth=- src=none	UNKNOWN	-
iforest	taxi	taxi-4110786x16	ours	ok	147.3	128.7	148.6	5	None	auc=0.551846	0f75e4476502aa46	True	trees=- leaves=- depth=- src=none	UNKNOWN	-
iforest	taxi	taxi-4110786x16	sklearn-iforest-cpu	REFUSED(GPU-PATH-ONLY: sklearn-iforest-cpu is a CPU arm and cpu was not requested on this accelerator box. On NVIDIA we compare )	None	None	None	0	None	-	-	None	UNAVAILABLE	UNKNOWN	-
iforest	istella	istella-2043304x220	cuml-iforest-gpu	ok	2544.9	2530.1	2546.0	5	0.098	auc=0.830358	3ff96e9ccdd645c5	True	trees=- leaves=- depth=- src=none	UNKNOWN	-
iforest	istella	istella-2043304x220	ours	ok	248.7	248.3	333.1	5	None	auc=0.830358	1cf6af0c1d5ee0fa	True	trees=- leaves=- depth=- src=none	UNKNOWN	-
iforest	istella	istella-2043304x220	sklearn-iforest-cpu	REFUSED(GPU-PATH-ONLY: sklearn-iforest-cpu is a CPU arm and cpu was not requested on this accelerator box. On NVIDIA we compare )	None	None	None	0	None	-	-	None	UNAVAILABLE	UNKNOWN	-
kmeans	taxi	4000000x11	cuml-gpu	ok	126.6	126.0	128.9	5	1.535	inertia=1.20191e+08,inertia_over_ours=0.996384,n_iter=20	b5e10f5f7928c06d	False	n/a (classical)	n/a	input_home=device pre_clock_fit=False
kmeans	taxi	4000000x11	ours	ok	194.4	191.4	196.6	5	None	inertia=1.20628e+08,inertia_over_ours=1,n_iter=21	89520efe99a08d5f	True	n/a (classical)	n/a	input_home=host pre_clock_fit=False
kmeans	taxi	4000000x11	torch-gpu	ok	167.1	166.5	168.5	5	1.163	inertia=1.20191e+08,inertia_over_ours=0.996383,n_iter=20	030f57f1028f7d59	False	n/a (classical)	n/a	input_home=device pre_clock_fit=False
kmeans	istella	2043304x220	cuml-gpu	ok	171.7	171.5	266.5	5	7.344	inertia=1.28554e+17,inertia_over_ours=0.979203,n_iter=20	a870d53d4c4f897b	False	n/a (classical)	n/a	input_home=device pre_clock_fit=False
kmeans	istella	2043304x220	ours	ok	1261.2	1256.0	1266.6	5	None	inertia=1.31285e+17,inertia_over_ours=1,n_iter=21	7f720b0b76896308	True	n/a (classical)	n/a	input_home=host pre_clock_fit=False
kmeans	istella	2043304x220	torch-gpu	ok	136.4	136.0	136.9	5	9.244	inertia=1.28555e+17,inertia_over_ours=0.979204,n_iter=20	0e31f49990b5a657	False	n/a (classical)	n/a	input_home=device pre_clock_fit=False
pca	taxi	4000000x11	cuml-gpu	ok	20.4	19.6	21.4	5	1.318	explained_variance_ratio_sum=0.99786	6f291999988db211	True	n/a (classical)	n/a	input_home=device pre_clock_fit=False
pca	taxi	4000000x11	ours	ok	26.8	25.4	28.5	5	None	explained_variance_ratio_sum=0.997861	c790338770a4c120	True	n/a (classical)	n/a	input_home=host pre_clock_fit=False
pca	taxi	4000000x11	torch-gpu	ok	1.4	1.1	1.5	5	19.321	explained_variance_ratio_sum=0.99786	5fca61545e865db5	True	n/a (classical)	n/a	input_home=device pre_clock_fit=False
pca	istella	2043304x220	cuml-gpu	ok	83.1	82.0	83.4	5	4.669	explained_variance_ratio_sum=1	1421c1dc48098714	True	n/a (classical)	n/a	input_home=device pre_clock_fit=False
pca	istella	2043304x220	ours	ok	387.8	385.0	389.0	5	None	explained_variance_ratio_sum=1	e43f2f52f20f511a	True	n/a (classical)	n/a	input_home=host pre_clock_fit=False
pca	istella	2043304x220	torch-gpu	ok	9.0	8.6	9.1	5	42.982	explained_variance_ratio_sum=1	045a0aa7b030f2b1	True	n/a (classical)	n/a	input_home=device pre_clock_fit=False
ols	taxi	4000000x11	cuml-gpu	ok	22.0	22.0	26.6	5	7.745	finite=True,r2=0.908836,rmse=4.69649	d4622a524ee36f81	True	n/a (classical)	n/a	input_home=device pre_clock_fit=False
ols	taxi	4000000x11	ours	ok	170.6	137.9	185.0	5	None	finite=True,r2=0.908837,rmse=4.69647	fb86358654367fa0	True	n/a (classical)	n/a	input_home=host pre_clock_fit=False
ols	taxi	4000000x11	torch-gpu	ok	68.2	68.0	68.2	5	2.503	finite=True,r2=0.908836,rmse=4.69648	04ab1a3d721ffe46	True	n/a (classical)	n/a	input_home=device pre_clock_fit=False
ols	taxi	4000000x11	torch-gpu-eigh	ok	2.0	1.4	2.2	5	85.236	finite=True,r2=0.908836,rmse=4.6965	d7a02fd167acb194	True	n/a (classical)	n/a	input_home=device pre_clock_fit=False
ols	istella	2043304x220	cuml-gpu	ok	85.3	84.9	85.9	5	15.464	finite=True,r2=-6473.68,rmse=67.1436	64abb72c0468eb90	True	n/a (classical)	n/a	input_home=device pre_clock_fit=False
ols	istella	2043304x220	ours	ok	1318.9	1283.4	1338.4	5	None	finite=True,r2=0.331944,rmse=0.682027	6f12cfc209ecd1f9	True	n/a (classical)	n/a	input_home=host pre_clock_fit=False
ols	istella	2043304x220	torch-gpu	ok	95.1	95.0	95.1	5	13.870	finite=False,r2=nan,rmse=nan	3f70c5566cde32d0	True	n/a (classical)	n/a	input_home=device pre_clock_fit=False
ols	istella	2043304x220	torch-gpu-eigh	ok	9.7	9.5	11.2	5	135.433	finite=True,r2=0.151598,rmse=0.768592	857763e1df3cc083	True	n/a (classical)	n/a	input_home=device pre_clock_fit=False
knn	taxi	400000x11	cuml-gpu	ok	9.4	8.1	9.7	5	2.385	recall_at_10=0.99925,rows_with_repeated_ids=0	8387e3cd3b50aba1	True	n/a (classical)	n/a	input_home=device pre_clock_fit=True
knn	taxi	400000x11	ours	ok	22.5	21.7	27.9	5	None	recall_at_10=0.99915,rows_with_repeated_ids=0	635062839df98cb1	True	n/a (classical)	n/a	input_home=host pre_clock_fit=False
knn	taxi	400000x11	torch-gpu	ok	32.3	32.0	32.4	5	0.695	recall_at_10=0.999325,rows_with_repeated_ids=0	59c1f7e552b4e31c	True	n/a (classical)	n/a	input_home=device pre_clock_fit=False
knn	istella	400000x220	cuml-gpu	ok	50.9	50.6	51.9	5	2.304	recall_at_10=0.92205,rows_with_repeated_ids=0	6752e2a3aa6bf0c8	True	n/a (classical)	n/a	input_home=device pre_clock_fit=True
knn	istella	400000x220	ours	ok	117.2	116.9	118.7	5	None	recall_at_10=0.923025,rows_with_repeated_ids=0	da603cde48f68136	True	n/a (classical)	n/a	input_home=host pre_clock_fit=False
knn	istella	400000x220	torch-gpu	ok	50.3	50.2	50.5	5	2.331	recall_at_10=0.93835,rows_with_repeated_ids=0	66b40a8bcbdaccfe	True	n/a (classical)	n/a	input_home=device pre_clock_fit=False
kde	taxi	100000x11	cuml-gpu	ok	2.5	2.4	2.6	5	11.719	mean_log_likelihood=-9.58205,rows_without_density=0	cdce01475f9e6977	True	n/a (classical)	n/a	input_home=device pre_clock_fit=True
kde	taxi	100000x11	ours	ok	29.0	28.2	30.1	5	None	mean_log_likelihood=-9.58207,rows_without_density=0	aa8ac4159ad2cbfa	True	n/a (classical)	n/a	input_home=host pre_clock_fit=False
kde	istella	100000x220	cuml-gpu	ok	7.2	6.3	7.5	5	8.905	mean_log_likelihood=-212.117,rows_without_density=0	3f4541591da35fc6	True	n/a (classical)	n/a	input_home=device pre_clock_fit=True
