NOTE: column cpu-apple-m4 is a CPU column: cpu_model='Apple M4' column=cpu families=['_mojolearn_core_host', '_mojolearn_solver_host', '_mojolearn_trees_host'] commit=6796ceff932391adeaea8d788a6c5230ddfacf53
| lane/fixture                 | verdict    | apple-m4         | nvidia-nvidia-h100-80gb-hbm3-sm_90a | amd-gfx942       | cpu-apple-m4     |
| gbdt-symmetric/base          | IDENTICAL x3 | 56560dec5bdb6cb9 | 56560dec5bdb6cb9 | 56560dec5bdb6cb9 | (not run)        |
| gbdt-symmetric/denormal      | IDENTICAL x3 | 56560dec5bdb6cb9 | 56560dec5bdb6cb9 | 56560dec5bdb6cb9 | (not run)        |
| gbdt-symmetric/denormal_ftz  | IDENTICAL x3 | 56560dec5bdb6cb9 | 56560dec5bdb6cb9 | 56560dec5bdb6cb9 | (not run)        |
| gbdt-symmetric/dupes         | IDENTICAL x3 | 9d55545ce5f2ac2b | 9d55545ce5f2ac2b | 9d55545ce5f2ac2b | (not run)        |
| gbdt-symmetric/hashed        | IDENTICAL x3 | cf3de2636433b65a | cf3de2636433b65a | cf3de2636433b65a | (not run)        |
| gbdt-symmetric/negative      | IDENTICAL x3 | fb9966f26639c286 | fb9966f26639c286 | fb9966f26639c286 | (not run)        |
| gbdt-symmetric/odd           | IDENTICAL x3 | 0836bd47530040d0 | 0836bd47530040d0 | 0836bd47530040d0 | (not run)        |
| gbdt-symmetric/ties          | IDENTICAL x3 | b32c469f812adf25 | b32c469f812adf25 | b32c469f812adf25 | (not run)        |
| gbdt-symmetric/wide          | IDENTICAL x3 | bc0084b9b1e30f87 | bc0084b9b1e30f87 | bc0084b9b1e30f87 | (not run)        |
| gemm-pinned/base             | IDENTICAL x3 | 931036cbc84c1ce0 | 931036cbc84c1ce0 | 931036cbc84c1ce0 | (not run)        |
| gemm-pinned/denormal         | IDENTICAL x3 | 026720f450eda8a3 | 026720f450eda8a3 | 026720f450eda8a3 | (not run)        |
| gemm-pinned/denormal_ftz     | IDENTICAL x3 | 026720f450eda8a3 | 026720f450eda8a3 | 026720f450eda8a3 | (not run)        |
| gemm-pinned/dupes            | IDENTICAL x3 | 4d5d6e4a621ef9af | 4d5d6e4a621ef9af | 4d5d6e4a621ef9af | (not run)        |
| gemm-pinned/hashed           | IDENTICAL x3 | 06057c0eeb212963 | 06057c0eeb212963 | 06057c0eeb212963 | (not run)        |
| gemm-pinned/negative         | IDENTICAL x3 | 1ef67a1833b19819 | 1ef67a1833b19819 | 1ef67a1833b19819 | (not run)        |
| gemm-pinned/odd              | IDENTICAL x3 | d5a7a31e551215d9 | d5a7a31e551215d9 | d5a7a31e551215d9 | (not run)        |
| gemm-pinned/ties             | IDENTICAL x3 | 8ddd60b67526c1b1 | 8ddd60b67526c1b1 | 8ddd60b67526c1b1 | (not run)        |
| gemm-pinned/wide             | IDENTICAL x3 | 01701582fa724ce4 | 01701582fa724ce4 | 01701582fa724ce4 | (not run)        |
| gp/base                      | IDENTICAL x3 | ea70c56b99a74791 | ea70c56b99a74791 | ea70c56b99a74791 | (not run)        |
| gp/denormal                  | IDENTICAL x3 | f0986dd9686ae3c2 | f0986dd9686ae3c2 | f0986dd9686ae3c2 | (not run)        |
| gp/denormal_ftz              | IDENTICAL x3 | f0986dd9686ae3c2 | f0986dd9686ae3c2 | f0986dd9686ae3c2 | (not run)        |
| gp/dupes                     | IDENTICAL x3 | fba9e6f4ea05af2c | fba9e6f4ea05af2c | fba9e6f4ea05af2c | (not run)        |
| gp/hashed                    | IDENTICAL x3 | f01c58a79fb1af27 | f01c58a79fb1af27 | f01c58a79fb1af27 | (not run)        |
| gp/negative                  | IDENTICAL x3 | 40fd2f479f775ec4 | 40fd2f479f775ec4 | 40fd2f479f775ec4 | (not run)        |
| gp/odd                       | IDENTICAL x3 | cbdbd1248c92a3f8 | cbdbd1248c92a3f8 | cbdbd1248c92a3f8 | (not run)        |
| gp/ties                      | IDENTICAL x3 | c92496318cb78403 | c92496318cb78403 | c92496318cb78403 | (not run)        |
| gp/wide                      | IDENTICAL x3 | ca779c84b786d493 | ca779c84b786d493 | ca779c84b786d493 | (not run)        |
| holtwinters/base             | IDENTICAL x3 | 9781c2061a287937 | 9781c2061a287937 | 9781c2061a287937 | (not run)        |
