| lane/fixture                 | verdict    | apple-m4         | apple-m4         | nvidia-nvidia-h100-80gb-hbm3-sm_90a | amd-gfx942       |
| gbdt-symmetric/denormal_ftz  | IDENTICAL x3 | (not run)        | 56560dec5bdb6cb9 | 56560dec5bdb6cb9 | 56560dec5bdb6cb9 |
| gbdt-symmetric/dupes         | IDENTICAL x3 | (not run)        | 9d55545ce5f2ac2b | 9d55545ce5f2ac2b | 9d55545ce5f2ac2b |
| gbdt-symmetric/hashed        | IDENTICAL x3 | (not run)        | cf3de2636433b65a | cf3de2636433b65a | cf3de2636433b65a |
| gbdt-symmetric/negative      | IDENTICAL x3 | (not run)        | fb9966f26639c286 | fb9966f26639c286 | fb9966f26639c286 |
| gbdt-symmetric/odd           | IDENTICAL x3 | (not run)        | 0836bd47530040d0 | 0836bd47530040d0 | 0836bd47530040d0 |
| gbdt-symmetric/ties          | IDENTICAL x3 | (not run)        | b32c469f812adf25 | b32c469f812adf25 | b32c469f812adf25 |
| gbdt-symmetric/wide          | IDENTICAL x3 | (not run)        | bc0084b9b1e30f87 | bc0084b9b1e30f87 | bc0084b9b1e30f87 |
| gemm-pinned/base             | IDENTICAL x3 | (not run)        | 931036cbc84c1ce0 | 931036cbc84c1ce0 | 931036cbc84c1ce0 |
| gemm-pinned/denormal         | IDENTICAL x3 | (not run)        | 026720f450eda8a3 | 026720f450eda8a3 | 026720f450eda8a3 |
| gemm-pinned/denormal_ftz     | IDENTICAL x3 | (not run)        | 026720f450eda8a3 | 026720f450eda8a3 | 026720f450eda8a3 |
| gemm-pinned/dupes            | IDENTICAL x3 | (not run)        | 4d5d6e4a621ef9af | 4d5d6e4a621ef9af | 4d5d6e4a621ef9af |
| gemm-pinned/hashed           | IDENTICAL x3 | (not run)        | 06057c0eeb212963 | 06057c0eeb212963 | 06057c0eeb212963 |
| gemm-pinned/negative         | IDENTICAL x3 | (not run)        | 1ef67a1833b19819 | 1ef67a1833b19819 | 1ef67a1833b19819 |
| gemm-pinned/odd              | IDENTICAL x3 | (not run)        | d5a7a31e551215d9 | d5a7a31e551215d9 | d5a7a31e551215d9 |
| gemm-pinned/ties             | IDENTICAL x3 | (not run)        | 8ddd60b67526c1b1 | 8ddd60b67526c1b1 | 8ddd60b67526c1b1 |
| gemm-pinned/wide             | IDENTICAL x3 | (not run)        | 01701582fa724ce4 | 01701582fa724ce4 | 01701582fa724ce4 |
| gp/base                      | IDENTICAL x3 | (not run)        | ea70c56b99a74791 | ea70c56b99a74791 | ea70c56b99a74791 |
| gp/denormal                  | IDENTICAL x3 | (not run)        | f0986dd9686ae3c2 | f0986dd9686ae3c2 | f0986dd9686ae3c2 |
| gp/denormal_ftz              | IDENTICAL x3 | (not run)        | f0986dd9686ae3c2 | f0986dd9686ae3c2 | f0986dd9686ae3c2 |
| gp/dupes                     | IDENTICAL x3 | (not run)        | fba9e6f4ea05af2c | fba9e6f4ea05af2c | fba9e6f4ea05af2c |
| gp/hashed                    | IDENTICAL x3 | (not run)        | f01c58a79fb1af27 | f01c58a79fb1af27 | f01c58a79fb1af27 |
| gp/negative                  | IDENTICAL x3 | (not run)        | 40fd2f479f775ec4 | 40fd2f479f775ec4 | 40fd2f479f775ec4 |
| gp/odd                       | IDENTICAL x3 | (not run)        | cbdbd1248c92a3f8 | cbdbd1248c92a3f8 | cbdbd1248c92a3f8 |
| gp/ties                      | IDENTICAL x3 | (not run)        | c92496318cb78403 | c92496318cb78403 | c92496318cb78403 |
| gp/wide                      | IDENTICAL x3 | (not run)        | ca779c84b786d493 | ca779c84b786d493 | ca779c84b786d493 |
| holtwinters/base             | IDENTICAL x4 | 9781c2061a287937 | 9781c2061a287937 | 9781c2061a287937 | 9781c2061a287937 |
| holtwinters/denormal         | IDENTICAL x4 | db35c88da059e9e1 | db35c88da059e9e1 | db35c88da059e9e1 | db35c88da059e9e1 |
| holtwinters/denormal_ftz     | IDENTICAL x4 | db35c88da059e9e1 | db35c88da059e9e1 | db35c88da059e9e1 | db35c88da059e9e1 |
| holtwinters/dupes            | IDENTICAL x4 | 9781c2061a287937 | 9781c2061a287937 | 9781c2061a287937 | 9781c2061a287937 |
| holtwinters/hashed           | IDENTICAL x4 | 66f688c307cabc3b | 66f688c307cabc3b | 66f688c307cabc3b | 66f688c307cabc3b |
| holtwinters/negative         | IDENTICAL x4 | 8fa4116875bdf59c | 8fa4116875bdf59c | 8fa4116875bdf59c | 8fa4116875bdf59c |
| holtwinters/odd              | IDENTICAL x4 | 8fb4dd76d8080a46 | 8fb4dd76d8080a46 | 8fb4dd76d8080a46 | 8fb4dd76d8080a46 |
| holtwinters/ties             | IDENTICAL x4 | b2a5df45db1395b0 | b2a5df45db1395b0 | b2a5df45db1395b0 | b2a5df45db1395b0 |
| holtwinters/wide             | IDENTICAL x4 | 560cdc45a69cc987 | 560cdc45a69cc987 | 560cdc45a69cc987 | 560cdc45a69cc987 |
| iforest/base                 | IDENTICAL x4 | 8703d4a008ffd13d | 8703d4a008ffd13d | 8703d4a008ffd13d | 8703d4a008ffd13d |
| iforest/denormal             | IDENTICAL x4 | 54ea9b5c8c3fc38b | 54ea9b5c8c3fc38b | 54ea9b5c8c3fc38b | 54ea9b5c8c3fc38b |
| iforest/denormal_ftz         | IDENTICAL x4 | 54ea9b5c8c3fc38b | 54ea9b5c8c3fc38b | 54ea9b5c8c3fc38b | 54ea9b5c8c3fc38b |
| iforest/dupes                | IDENTICAL x4 | b879bcf3dcf99f38 | b879bcf3dcf99f38 | b879bcf3dcf99f38 | b879bcf3dcf99f38 |
| iforest/hashed               | IDENTICAL x4 | 72260557474879ae | 72260557474879ae | 72260557474879ae | 72260557474879ae |
| iforest/negative             | IDENTICAL x4 | a5b7676e39778af5 | a5b7676e39778af5 | a5b7676e39778af5 | a5b7676e39778af5 |
| iforest/odd                  | IDENTICAL x4 | 9b849a13c8d35adb | 9b849a13c8d35adb | 9b849a13c8d35adb | 9b849a13c8d35adb |
| iforest/ties                 | IDENTICAL x4 | 5043855ee14799da | 5043855ee14799da | 5043855ee14799da | 5043855ee14799da |
| iforest/wide                 | IDENTICAL x4 | 8703d4a008ffd13d | 8703d4a008ffd13d | 8703d4a008ffd13d | 8703d4a008ffd13d |
| kde/base                     | IDENTICAL x3 | (not run)        | e0d6e3d0623d6112 | e0d6e3d0623d6112 | e0d6e3d0623d6112 |
| kde/denormal                 | IDENTICAL x3 | (not run)        | 2128392fe1eb228a | 2128392fe1eb228a | 2128392fe1eb228a |
