# GENERATED by tokenizer/tools/gen_unicode_categories.py -- do not hand-edit
# unicodedata 16.0.0 (python 3.14.6)
# class	first_hex	last_hex  (inclusive, ascending, disjoint)
# L = \p{L} (Lu Ll Lt Lm Lo), N = \p{N} (Nd Nl No), WS = White_Space property (\s)
L	1EE6C	1EE72
L	1EE74	1EE77
L	1EE79	1EE7C
L	1EE7E	1EE7E
L	1EE80	1EE89
L	1EE8B	1EE9B
L	1EEA1	1EEA3
L	1EEA5	1EEA9
L	1EEAB	1EEBB
L	20000	2A6DF
L	2A700	2B739
L	2B740	2B81D
L	2B820	2CEA1
L	2CEB0	2EBE0
L	2EBF0	2EE5D
L	2F800	2FA1D
L	30000	3134A
L	31350	323AF
N	0030	0039
N	00B2	00B3
N	00B9	00B9
N	00BC	00BE
N	0660	0669
N	06F0	06F9
N	07C0	07C9
N	0966	096F
N	09E6	09EF
N	09F4	09F9
N	0A66	0A6F
N	0AE6	0AEF
N	0B66	0B6F
N	0B72	0B77
N	0BE6	0BF2
N	0C66	0C6F
N	0C78	0C7E
N	0CE6	0CEF
N	0D58	0D5E
N	0D66	0D78
N	0DE6	0DEF
N	0E50	0E59
N	0ED0	0ED9
N	0F20	0F33
N	1040	1049
N	1090	1099
N	1369	137C
N	16EE	16F0
N	17E0	17E9
N	17F0	17F9
N	1810	1819
N	1946	194F
N	19D0	19DA
N	1A80	1A89
N	1A90	1A99
N	1B50	1B59
N	1BB0	1BB9
N	1C40	1C49
N	1C50	1C59
N	2070	2070
N	2074	2079
N	2080	2089
N	2150	2182
N	2185	2189
N	2460	249B
N	24EA	24FF
N	2776	2793
N	2CFD	2CFD
N	3007	3007
N	3021	3029
N	3038	303A
N	3192	3195
N	3220	3229
N	3248	324F
N	3251	325F
N	3280	3289
N	32B1	32BF
N	A620	A629
N	A6E6	A6EF
N	A830	A835
N	A8D0	A8D9
N	A900	A909
N	A9D0	A9D9
N	A9F0	A9F9
N	AA50	AA59
N	ABF0	ABF9
N	FF10	FF19
N	10107	10133
N	10140	10178
N	1018A	1018B
N	102E1	102FB
N	10320	10323
N	10341	10341
N	1034A	1034A
N	103D1	103D5
N	104A0	104A9
N	10858	1085F
N	10879	1087F
N	108A7	108AF
N	108FB	108FF
N	10916	1091B
N	109BC	109BD
N	109C0	109CF
N	109D2	109FF
N	10A40	10A48
N	10A7D	10A7E
N	10A9D	10A9F
N	10AEB	10AEF
N	10B58	10B5F
N	10B78	10B7F
N	10BA9	10BAF
N	10CFA	10CFF
N	10D30	10D39
N	10D40	10D49
N	10E60	10E7E
N	10F1D	10F26
N	10F51	10F54
N	10FC5	10FCB
N	11052	1106F
N	110F0	110F9
N	11136	1113F
N	111D0	111D9
N	111E1	111F4
N	112F0	112F9
N	11450	11459
N	114D0	114D9
N	11650	11659
N	116C0	116C9
N	116D0	116E3
N	11730	1173B
N	118E0	118F2
N	11950	11959
N	11BF0	11BF9
N	11C50	11C6C
N	11D50	11D59
N	11DA0	11DA9
N	11F50	11F59
N	11FC0	11FD4
N	12400	1246E
N	16130	16139
N	16A60	16A69
N	16AC0	16AC9
N	16B50	16B59
N	16B5B	16B61
N	16D70	16D79
N	16E80	16E96
N	1CCF0	1CCF9
N	1D2C0	1D2D3
N	1D2E0	1D2F3
N	1D360	1D378
N	1D7CE	1D7FF
N	1E140	1E149
N	1E2F0	1E2F9
N	1E4F0	1E4F9
N	1E5F1	1E5FA
N	1E8C7	1E8CF
N	1E950	1E959
N	1EC71	1ECAB
N	1ECAD	1ECAF
N	1ECB1	1ECB4
N	1ED01	1ED2D
N	1ED2F	1ED3D
N	1F100	1F10C
N	1FBF0	1FBF9
WS	0009	000D
WS	0020	0020
WS	0085	0085
WS	00A0	00A0
WS	1680	1680
WS	2000	200A
WS	2028	2029
WS	202F	202F
WS	205F	205F
WS	3000	3000
