NOTE: --lanes scopes this diff to 4 lane(s); 0 other lane(s) the JSONs carry are not compared
NOTE: column cpu-apple-m4 is a CPU column: cpu_model='Apple M4' column=cpu families=['_mojolearn_arima_host', '_mojolearn_byte_lm_host', '_mojolearn_core_host', '_mojolearn_embedding_host', '_mojolearn_embedding_infer_host', '_mojolearn_estimators_host', '_mojolearn_forecast_host', '_mojolearn_forest_host', '_mojolearn_gbdt_host', '_mojolearn_gp_host', '_mojolearn_gp_infer_host', '_mojolearn_hdbscan_host', '_mojolearn_hdbscan_infer_host', '_mojolearn_ivf_host', '_mojolearn_ivf_search_host', '_mojolearn_kernel_methods_host', '_mojolearn_linalg_host', '_mojolearn_mamba_host', '_mojolearn_metrics_host', '_mojolearn_mixture_host', '_mojolearn_mixture_infer_host', '_mojolearn_neural_host', '_mojolearn_preprocessing_host', '_mojolearn_resample_host', '_mojolearn_rf_host', '_mojolearn_solver_host', '_mojolearn_svm_host', '_mojolearn_tokenizer_host', '_mojolearn_training_host', '_mojolearn_transformer_host', '_mojolearn_trees_host', '_mojolearn_tsa_host'] commit=3e7d0f47501c8e0f776dcdcfedeb45ffd6a28d28
| holtwinters/hashed           | model  | DIVERGENT    | 413bb5ade95df112 | d6e0e7b0fd9b4884 |
| holtwinters/hashed           | batch  | DIVERGENT    | be7b6b82935f4b0a | ecfc2b70ca9c45b7 |
| holtwinters/hashed           | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| holtwinters/hashed           | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| holtwinters/hashed           | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| holtwinters/hashed           | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| holtwinters/negative         | infer  | DIVERGENT    | 6749e91c85eac58b | 6e93a3df3f097c5e |
| holtwinters/negative         | model  | DIVERGENT    | 2e6fc91cd5af500c | 6d2e4cb620d1abca |
| holtwinters/negative         | batch  | DIVERGENT    | 9044038b2d830a74 | 053da5ec6fd427d4 |
| holtwinters/negative         | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| holtwinters/negative         | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| holtwinters/negative         | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| holtwinters/negative         | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| holtwinters/odd              | infer  | DIVERGENT    | d2df69128cc73273 | ea61175483689195 |
| holtwinters/odd              | model  | DIVERGENT    | a43c022c1756d711 | ffeae7346344da77 |
| holtwinters/odd              | batch  | DIVERGENT    | fdeb8696a8b83894 | 5bcc8ca3372203fe |
| holtwinters/odd              | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| holtwinters/odd              | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| holtwinters/odd              | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| holtwinters/odd              | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| holtwinters/ties             | infer  | DIVERGENT    | dfcedb0048e99751 | 17bbc379122785f2 |
