NOTE: --lanes scopes this diff to 4 lane(s); 0 other lane(s) the JSONs carry are not compared
NOTE: column cpu-amd-epyc-9965-192-core-processor is a CPU column: cpu_model='AMD EPYC 9965 192-Core Processor' column=cpu families=['_mojolearn_core_host', '_mojolearn_tsa_host'] commit=07201a6149b5f86fad77335ba7219a2588f1e66b
| par-forecast-holtwinters/hashed | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| par-forecast-holtwinters/negative | infer  | ONE-COLUMN   | 13a2f8d75bb87a49 | REFUSED          |
| par-forecast-holtwinters/negative | model  | ONE-COLUMN   | 141468532f9d578b | REFUSED          |
| par-forecast-holtwinters/negative | batch  | BATCH_MOVED  | a514a1878c162023 | BATCH_MOVED      |
| par-forecast-holtwinters/negative | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| par-forecast-holtwinters/negative | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| par-forecast-holtwinters/negative | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| par-forecast-holtwinters/negative | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| par-forecast-holtwinters/odd | infer  | ONE-COLUMN   | d703e84ef2619c33 | REFUSED          |
| par-forecast-holtwinters/odd | model  | ONE-COLUMN   | faaf3751f5a7301c | REFUSED          |
| par-forecast-holtwinters/odd | batch  | BATCH_MOVED  | a2d6bea9501142fa | BATCH_MOVED      |
| par-forecast-holtwinters/odd | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| par-forecast-holtwinters/odd | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| par-forecast-holtwinters/odd | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| par-forecast-holtwinters/odd | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| par-forecast-holtwinters/ties | infer  | ONE-COLUMN   | e30245aa5f954cac | REFUSED          |
| par-forecast-holtwinters/ties | model  | ONE-COLUMN   | c4bf3300c250e545 | REFUSED          |
| par-forecast-holtwinters/ties | batch  | BATCH_MOVED  | e3896bd322189e93 | BATCH_MOVED      |
| par-forecast-holtwinters/ties | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| par-forecast-holtwinters/ties | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| par-forecast-holtwinters/ties | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| par-forecast-holtwinters/ties | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| par-forecast-holtwinters/wide | infer  | ONE-COLUMN   | d50097a2978e191d | REFUSED          |
| par-forecast-holtwinters/wide | model  | ONE-COLUMN   | 3b98cc951a655fda | REFUSED          |
| par-forecast-holtwinters/wide | batch  | BATCH_MOVED  | d5f4a7f92e1a7de5 | BATCH_MOVED      |
| par-forecast-holtwinters/wide | batchgrad | N/A          | n/a:no-backward  | n/a:no-backward  |
| par-forecast-holtwinters/wide | batchscale | N/A          | n/a:not-in-the-serving-set | n/a:not-in-the-serving-set |
| par-forecast-holtwinters/wide | ragged | N/A          | n/a:no-sequence-axis | n/a:no-sequence-axis |
| par-forecast-holtwinters/wide | stepfull | N/A          | n/a:no-decode-state | n/a:no-decode-state |
| par-holtwinters/base         | infer  | DIVERGENT    | 1832b9c59bc8b03d | DIVERGENT        |
| par-holtwinters/base         | model  | DIVERGENT    | 574f8ee721ff8cb1 | DIVERGENT        |
| par-holtwinters/base         | batch  | DIVERGENT    | be72b2532c5f96bc | DIVERGENT        |
| par-holtwinters/base         | batchgrad | DIVERGENT    | n/a:no-backward  | DIVERGENT        |
| par-holtwinters/base         | batchscale | DIVERGENT    | n/a:not-in-the-serving-set | DIVERGENT        |
| par-holtwinters/base         | ragged | DIVERGENT    | n/a:no-sequence-axis | DIVERGENT        |
| par-holtwinters/base         | stepfull | DIVERGENT    | n/a:no-decode-state | DIVERGENT        |
| par-holtwinters/denormal     | infer  | DIVERGENT    | f2b078793277ad49 | DIVERGENT        |
| par-holtwinters/denormal     | model  | DIVERGENT    | 4aa7580e6078aafc | DIVERGENT        |
| par-holtwinters/denormal     | batch  | DIVERGENT    | 0276ee3ed5014cbe | DIVERGENT        |
| par-holtwinters/denormal     | batchgrad | DIVERGENT    | n/a:no-backward  | DIVERGENT        |
| par-holtwinters/denormal     | batchscale | DIVERGENT    | n/a:not-in-the-serving-set | DIVERGENT        |
| par-holtwinters/denormal     | ragged | DIVERGENT    | n/a:no-sequence-axis | DIVERGENT        |
| par-holtwinters/denormal     | stepfull | DIVERGENT    | n/a:no-decode-state | DIVERGENT        |
| par-holtwinters/denormal_ftz | infer  | DIVERGENT    | f2b078793277ad49 | DIVERGENT        |
| par-holtwinters/denormal_ftz | model  | DIVERGENT    | 4aa7580e6078aafc | DIVERGENT        |
| par-holtwinters/denormal_ftz | batch  | DIVERGENT    | 0276ee3ed5014cbe | DIVERGENT        |
| par-holtwinters/denormal_ftz | batchgrad | DIVERGENT    | n/a:no-backward  | DIVERGENT        |
