# DEVIATION 2630 step breakdown; ms per step, median over the timed steps
# gpu: NVIDIA H100 80GB HBM3, 580.126.09, 81559 MiB, 9.0, 5, 16, 700.00 W, 31, 1980 MHz, GPU-6ba9b52d-1dbd-23cc-e297-f09331d8896f
# host: model name	: Intel(R) Xeon(R) Platinum 8480+ | nproc=2 | 6.8.0-106-generic
corpus	kind	component	parent	depth	ms_per_step_median	share_of_envelope	lines_per_step	launches_per_step	syncs_per_step	note
pilegithub	parent	block.attention_total	envelope.blocks_forward	2	37.358	0.1247	12			
pilegithub	parent	attn.qkv_proj	block.attention_total	3	10.045	0.0335	12			
pilegithub	leaf	fwd.q_proj	attn.qkv_proj	4	3.243	0.0108	12	24.0	48.0	
pilegithub	leaf	fwd.k_proj	attn.qkv_proj	4	3.245	0.0108	12	24.0	48.0	
pilegithub	leaf	fwd.v_proj	attn.qkv_proj	4	3.247	0.0108	12	24.0	48.0	
pilegithub	remainder	remainder:attn.qkv_proj	attn.qkv_proj	4	0.310	0.0010				parent minus its children per step, then the median
pilegithub	leaf	attn.rope_and_cache	block.attention_total	3	1.301	0.0043	12			
pilegithub	parent	attn.core	block.attention_total	3	22.524	0.0752	12			
pilegithub	leaf	attn.fwd_corner_flag	attn.core	4	0.277	0.0009	12			
pilegithub	leaf	attn.fwd_r2_kernel	attn.core	4	20.885	0.0697	12			
pilegithub	leaf	attn.fwd_regime_scan	attn.core	4	1.147	0.0038	12			
pilegithub	leaf	attn.fwd_scratch_alloc	attn.core	4	0.148	0.0005	12			
pilegithub	remainder	remainder:attn.core	attn.core	4	0.063	0.0002				parent minus its children per step, then the median
pilegithub	parent	attn.o_proj	block.attention_total	3	3.436	0.0115	12			
pilegithub	leaf	fwd.o_proj	attn.o_proj	4	3.293	0.0110	12	24.0	48.0	
pilegithub	remainder	remainder:attn.o_proj	attn.o_proj	4	0.144	0.0005				parent minus its children per step, then the median
pilegithub	remainder	remainder:block.attention_total	block.attention_total	3	0.055	0.0002				parent minus its children per step, then the median
pilegithub	parent	block.mlp_and_residuals	envelope.blocks_forward	2	25.335	0.0845	12			
pilegithub	leaf	fwd.residual1_add	block.mlp_and_residuals	3	0.219	0.0007	12	12.0	12.0	
pilegithub	leaf	fwd.norm2	block.mlp_and_residuals	3	3.073	0.0103	12	12.0	12.0	
pilegithub	leaf	fwd.gate_proj	block.mlp_and_residuals	3	6.792	0.0227	12	12.0	24.0	
pilegithub	leaf	fwd.up_proj	block.mlp_and_residuals	3	6.751	0.0225	12	12.0	24.0	
pilegithub	leaf	fwd.silu	block.mlp_and_residuals	3	0.371	0.0012	12	12.0	12.0	
pilegithub	leaf	fwd.gate_mul	block.mlp_and_residuals	3	0.367	0.0012	12	12.0	12.0	
pilegithub	leaf	fwd.down_proj	block.mlp_and_residuals	3	6.910	0.0231	12	24.0	48.0	
pilegithub	leaf	fwd.residual2_add	block.mlp_and_residuals	3	0.212	0.0007	12	12.0	12.0	
pilegithub	remainder	remainder:block.mlp_and_residuals	block.mlp_and_residuals	3	0.628	0.0021				parent minus its children per step, then the median
pilegithub	remainder	remainder:envelope.blocks_forward	envelope.blocks_forward	2	0.053	0.0002				parent minus its children per step, then the median
pilegithub	leaf	step.head_forward	envelope.native_call	1	13.900	0.0464	1			
pilegithub	leaf	step.ce_refuse_scan	envelope.native_call	1	0.384	0.0013	1			
pilegithub	leaf	step.ce_forward	envelope.native_call	1	1.708	0.0057	1			
pilegithub	leaf	step.loss_download	envelope.native_call	1	0.020	0.0001	1			
pilegithub	leaf	step.ce_backward	envelope.native_call	1	0.986	0.0033	1			
pilegithub	leaf	step.head_backward_da	envelope.native_call	1	14.401	0.0481	1			
pilegithub	leaf	step.head_backward_db	envelope.native_call	1	14.027	0.0468	1			
pilegithub	parent	envelope.blocks_backward	envelope.native_call	1	173.286	0.5783	1			
pilegithub	parent	bwd.mlp_through_oproj	envelope.blocks_backward	2	54.801	0.1829	12	348.0	540.0	
pilegithub	leaf	grad.refuse_scan	bwd.mlp_through_oproj	3	0.397	0.0013	12	12.0	48.0	
pilegithub	leaf	grad.residual2_copy	bwd.mlp_through_oproj	3	0.327	0.0011	12	24.0	12.0	
pilegithub	leaf	grad.down_dA	bwd.mlp_through_oproj	3	6.917	0.0231	12	12.0	24.0	
pilegithub	leaf	grad.down_dB	bwd.mlp_through_oproj	3	7.138	0.0238	12	24.0	48.0	
pilegithub	leaf	grad.gate_mul	bwd.mlp_through_oproj	3	0.637	0.0021	12	24.0	12.0	
pilegithub	leaf	grad.silu	bwd.mlp_through_oproj	3	0.425	0.0014	12	12.0	12.0	
pilegithub	leaf	grad.gate_dB	bwd.mlp_through_oproj	3	7.096	0.0237	12	24.0	48.0	
pilegithub	leaf	grad.up_dB	bwd.mlp_through_oproj	3	7.073	0.0236	12	24.0	48.0	
pilegithub	leaf	grad.gate_dA	bwd.mlp_through_oproj	3	6.953	0.0232	12	24.0	48.0	
pilegithub	leaf	grad.up_dA	bwd.mlp_through_oproj	3	6.950	0.0232	12	24.0	48.0	
pilegithub	leaf	grad.gateup_fanin	bwd.mlp_through_oproj	3	0.216	0.0007	12	12.0	12.0	
pilegithub	leaf	grad.norm2_kernels	bwd.mlp_through_oproj	3	2.029	0.0068	12	36.0	36.0	
pilegithub	leaf	grad.norm2_dW	bwd.mlp_through_oproj	3	0.403	0.0013	12	24.0	24.0	
pilegithub	leaf	grad.residual1_add	bwd.mlp_through_oproj	3	0.208	0.0007	12	12.0	12.0	
pilegithub	leaf	grad.o_copy	bwd.mlp_through_oproj	3	0.207	0.0007	12	12.0	12.0	
pilegithub	leaf	grad.o_dA	bwd.mlp_through_oproj	3	3.295	0.0110	12	24.0	48.0	
pilegithub	leaf	grad.o_dB	bwd.mlp_through_oproj	3	3.252	0.0109	12	24.0	48.0	
pilegithub	remainder	remainder:bwd.mlp_through_oproj	bwd.mlp_through_oproj	3	1.284	0.0043				parent minus its children per step, then the median
pilegithub	leaf	bwd.before_attention	envelope.blocks_backward	2	0.018	0.0001	12			
pilegithub	parent	bwd.attention	envelope.blocks_backward	2	93.870	0.3133	12			
pilegithub	leaf	attn.bwd_corner_flag	bwd.attention	3	0.316	0.0011	12			
pilegithub	leaf	attn.bwd_dkdv_tiled_pf	bwd.attention	3	12.546	0.0419	12			
pilegithub	leaf	attn.bwd_dq_tiled_pf	bwd.attention	3	12.600	0.0420	12			
pilegithub	leaf	attn.bwd_regime_scan	bwd.attention	3	1.596	0.0053	12			
pilegithub	leaf	attn.bwd_scratch_alloc	bwd.attention	3	0.137	0.0005	12			
pilegithub	leaf	attn.bwd_zdot_stash_pf	bwd.attention	3	66.643	0.2224	12			
pilegithub	remainder	remainder:bwd.attention	bwd.attention	3	0.061	0.0002				parent minus its children per step, then the median
pilegithub	parent	bwd.after_attention	envelope.blocks_backward	2	24.444	0.0816	12			
pilegithub	leaf	grad.kv_slice	bwd.after_attention	3	0.497	0.0017	12	24.0	12.0	
pilegithub	leaf	grad.rope	bwd.after_attention	3	0.550	0.0018	12	24.0	12.0	
pilegithub	leaf	grad.q_dB	bwd.after_attention	3	3.277	0.0109	12	24.0	48.0	
pilegithub	leaf	grad.k_dB	bwd.after_attention	3	3.245	0.0108	12	24.0	48.0	
pilegithub	leaf	grad.v_dB	bwd.after_attention	3	3.240	0.0108	12	24.0	48.0	
pilegithub	leaf	grad.q_dA	bwd.after_attention	3	3.271	0.0109	12	24.0	48.0	
pilegithub	leaf	grad.k_dA	bwd.after_attention	3	3.275	0.0109	12	24.0	48.0	
pilegithub	leaf	grad.v_dA	bwd.after_attention	3	3.275	0.0109	12	24.0	48.0	
pilegithub	leaf	grad.qkv_fanin	bwd.after_attention	3	0.221	0.0007	12	12.0	12.0	
pilegithub	leaf	grad.norm1_kernels	bwd.after_attention	3	2.019	0.0067	12	36.0	36.0	
pilegithub	leaf	grad.norm1_dW	bwd.after_attention	3	0.397	0.0013	12	24.0	24.0	
pilegithub	leaf	grad.x_add	bwd.after_attention	3	0.208	0.0007	12	12.0	12.0	
pilegithub	remainder	remainder:bwd.after_attention	bwd.after_attention	3	0.961	0.0032				parent minus its children per step, then the median
pilegithub	remainder	remainder:envelope.blocks_backward	envelope.blocks_backward	2	0.124	0.0004				parent minus its children per step, then the median
pilegithub	leaf	step.embedding_backward	envelope.native_call	1	2.529	0.0084	1			
pilegithub	leaf	step.pack_grads	envelope.native_call	1	1.099	0.0037	1			
pilegithub	leaf	step.validate_grads_scan	envelope.native_call	1	0.558	0.0019	1			
