CORPUS enwik8
EXPECTED FAIL loss
EXPECTED FAIL gradients
EXPECTED FAIL parameters
EXPECTED FAIL m
EXPECTED FAIL v
EXPECTED FAIL flags
EXPECTED FAIL shape
EXPECTED FAIL seed
EXPECTED FAIL completed
EXPECTED FAIL timing
EXPECTED FAIL timing
EXPECTED FAIL loss
EXPECTED FAIL dispatch
EXPECTED FAIL coverage
EXPECTED FAIL sequence
EXPECTED FAIL corpus
EXPECTED FAIL attention
EXPECTED FAIL binding
EXPECTED FAIL finite
MATCH step 0 loss d1b0bc14e89f1f881d19c11bb576e521f1b8a226397b88171ab3cb6697b6da22 d1b0bc14e89f1f881d19c11bb576e521f1b8a226397b88171ab3cb6697b6da22
MATCH step 259 loss 2.026862382888794 2.026862382888794
MATCH step 260 loss 1.9842116832733154 1.9842116832733154
MATCH step 261 loss 1.824641227722168 1.824641227722168
MATCH step 262 loss 2.0261731147766113 2.0261731147766113
MATCH step 263 loss 2.0064918994903564 2.0064918994903564
MATCH step 264 loss 2.2270302772521973 2.2270302772521973
MATCH step 265 loss 1.920011281967163 1.920011281967163
MATCH step 266 loss 2.1616153717041016 2.1616153717041016
MATCH step 267 loss 2.1062192916870117 2.1062192916870117
MATCH step 268 loss 2.2649340629577637 2.2649340629577637
MATCH step 269 loss 2.0022497177124023 2.0022497177124023
MATCH step 270 loss 1.9876785278320312 1.9876785278320312
MATCH step 271 loss 1.8277815580368042 1.8277815580368042
MATCH step 272 loss 1.816253423690796 1.816253423690796
MATCH step 273 loss 1.9733377695083618 1.9733377695083618
MATCH step 274 loss 1.7388312816619873 1.7388312816619873
MATCH step 275 loss 2.331075429916382 2.331075429916382
MATCH step 276 loss 2.0368878841400146 2.0368878841400146
MATCH step 277 loss 2.175662040710449 2.175662040710449
MATCH step 278 loss 1.943126916885376 1.943126916885376
MATCH step 279 loss 2.108417510986328 2.108417510986328
MATCH step 280 loss 2.2160630226135254 2.2160630226135254
MATCH step 281 loss 2.165987491607666 2.165987491607666
MATCH step 282 loss 2.220165967941284 2.220165967941284
MATCH step 283 loss 2.058450698852539 2.058450698852539
MATCH step 284 loss 3.247960329055786 3.247960329055786
MATCH step 285 loss 2.854674816131592 2.854674816131592
MATCH step 286 loss 2.4165725708007812 2.4165725708007812
MATCH step 287 loss 2.324888229370117 2.324888229370117
MATCH step 288 loss 2.3302865028381348 2.3302865028381348
MATCH step 289 loss 2.192861795425415 2.192861795425415
MATCH step 290 loss 2.3139572143554688 2.3139572143554688
MATCH step 291 loss 2.3093481063842773 2.3093481063842773
MATCH step 292 loss 2.3327746391296387 2.3327746391296387
MATCH step 293 loss 2.174776315689087 2.174776315689087
MATCH step 294 loss 2.2659435272216797 2.2659435272216797
MATCH step 295 loss 2.1346945762634277 2.1346945762634277
MATCH step 296 loss 2.0857667922973633 2.0857667922973633
MATCH step 297 loss 2.1141586303710938 2.1141586303710938
MATCH step 298 loss 2.1429624557495117 2.1429624557495117
MATCH step 299 loss 2.23508620262146 2.23508620262146
MATCH step 300 loss 2.2351953983306885 2.2351953983306885
MATCH step 301 loss 2.7303855419158936 2.7303855419158936
MATCH step 302 loss 2.428466558456421 2.428466558456421
MATCH step 303 loss 2.171072006225586 2.171072006225586
MATCH step 304 loss 2.1867706775665283 2.1867706775665283
MATCH step 305 loss 2.1764605045318604 2.1764605045318604
