UMAP sparse graph mode IDENTICAL
UMAP_SPARSE_BITS duplicates-mix2 directed 24 0
UMAP_SPARSE_BITS duplicates-mix2 weights 24 0
UMAP_SPARSE_CASE_PASS duplicates-mix2
UMAP_SPARSE_BITS duplicates-mix3 rho 0 1056964608
UMAP_SPARSE_BITS duplicates-mix3 sigma 0 1067937421
UMAP_SPARSE_BITS duplicates-mix3 rho 1 1056964608
UMAP_SPARSE_BITS duplicates-mix3 sigma 1 1032719563
UMAP_SPARSE_BITS duplicates-mix3 rho 2 1065353216
UMAP_SPARSE_BITS duplicates-mix3 sigma 2 1074069344
UMAP_SPARSE_BITS duplicates-mix3 rho 3 1065353216
UMAP_SPARSE_BITS duplicates-mix3 sigma 3 1034581440
UMAP_SPARSE_BITS duplicates-mix3 rho 4 1056964608
UMAP_SPARSE_BITS duplicates-mix3 sigma 4 1067937421
UMAP_SPARSE_BITS duplicates-mix3 directed 0 0
UMAP_SPARSE_BITS duplicates-mix3 weights 0 0
UMAP_SPARSE_BITS duplicates-mix3 directed 1 1060023561
UMAP_SPARSE_BITS duplicates-mix3 weights 1 1060023561
UMAP_SPARSE_BITS duplicates-mix3 directed 2 0
UMAP_SPARSE_BITS duplicates-mix3 weights 2 1065353216
UMAP_SPARSE_BITS duplicates-mix3 directed 3 1065353216
UMAP_SPARSE_BITS duplicates-mix3 weights 3 1065353216
UMAP_SPARSE_BITS duplicates-mix3 directed 4 0
UMAP_SPARSE_BITS duplicates-mix3 weights 4 1060023561
UMAP_SPARSE_BITS duplicates-mix3 directed 5 629145597
UMAP_SPARSE_BITS duplicates-mix3 weights 5 1060023561
UMAP_SPARSE_BITS duplicates-mix3 directed 6 0
UMAP_SPARSE_BITS duplicates-mix3 weights 6 0
UMAP_SPARSE_BITS duplicates-mix3 directed 7 1065353216
UMAP_SPARSE_BITS duplicates-mix3 weights 7 1065353216
UMAP_SPARSE_BITS duplicates-mix3 directed 8 0
UMAP_SPARSE_BITS duplicates-mix3 weights 8 1065353216
UMAP_SPARSE_BITS duplicates-mix3 directed 9 1065353216
UMAP_SPARSE_BITS duplicates-mix3 weights 9 1065353216
UMAP_SPARSE_BITS duplicates-mix3 directed 10 1065353216
UMAP_SPARSE_BITS duplicates-mix3 weights 10 1065353216
UMAP_SPARSE_BITS duplicates-mix3 directed 11 0
UMAP_SPARSE_BITS duplicates-mix3 weights 11 1065353216
UMAP_SPARSE_BITS duplicates-mix3 directed 12 0
UMAP_SPARSE_BITS duplicates-mix3 weights 12 0
UMAP_SPARSE_BITS duplicates-mix3 directed 13 0
UMAP_SPARSE_BITS duplicates-mix3 weights 13 1065353216
UMAP_SPARSE_BITS duplicates-mix3 directed 14 1058944890
UMAP_SPARSE_BITS duplicates-mix3 weights 14 1058944890
UMAP_SPARSE_BITS duplicates-mix3 directed 15 0
UMAP_SPARSE_BITS duplicates-mix3 weights 15 1065353216
UMAP_SPARSE_BITS duplicates-mix3 directed 16 1065353216
UMAP_SPARSE_BITS duplicates-mix3 weights 16 1065353216
UMAP_SPARSE_BITS duplicates-mix3 directed 17 1065353216
UMAP_SPARSE_BITS duplicates-mix3 weights 17 1065353216
UMAP_SPARSE_BITS duplicates-mix3 directed 18 0
UMAP_SPARSE_BITS duplicates-mix3 weights 18 0
UMAP_SPARSE_BITS duplicates-mix3 directed 19 0
UMAP_SPARSE_BITS duplicates-mix3 weights 19 1050846702
UMAP_SPARSE_BITS duplicates-mix3 directed 20 1060023561
UMAP_SPARSE_BITS duplicates-mix3 weights 20 1060023561
UMAP_SPARSE_BITS duplicates-mix3 directed 21 1065353216
UMAP_SPARSE_BITS duplicates-mix3 weights 21 1065353216
UMAP_SPARSE_BITS duplicates-mix3 directed 22 0
UMAP_SPARSE_BITS duplicates-mix3 weights 22 1058944890
UMAP_SPARSE_BITS duplicates-mix3 directed 23 1050846702
UMAP_SPARSE_BITS duplicates-mix3 weights 23 1050846702
UMAP_SPARSE_BITS duplicates-mix3 directed 24 0
UMAP_SPARSE_BITS duplicates-mix3 weights 24 0
UMAP_SPARSE_CASE_PASS duplicates-mix3
UMAP_SPARSE_BITS nonzero-self-distance rho 0 1040187392
UMAP_SPARSE_BITS nonzero-self-distance sigma 0 1075316696
UMAP_SPARSE_BITS nonzero-self-distance rho 1 1056964608
UMAP_SPARSE_BITS nonzero-self-distance sigma 1 1032719563
UMAP_SPARSE_BITS nonzero-self-distance rho 2 1065353216
UMAP_SPARSE_BITS nonzero-self-distance sigma 2 1074069344
UMAP_SPARSE_BITS nonzero-self-distance rho 3 1065353216
UMAP_SPARSE_BITS nonzero-self-distance sigma 3 1034581440
UMAP_SPARSE_BITS nonzero-self-distance rho 4 1056964608
UMAP_SPARSE_BITS nonzero-self-distance sigma 4 1067937421
UMAP_SPARSE_BITS nonzero-self-distance directed 0 0
UMAP_SPARSE_BITS nonzero-self-distance weights 0 0
UMAP_SPARSE_BITS nonzero-self-distance directed 1 1060183773
UMAP_SPARSE_BITS nonzero-self-distance weights 1 1051795165
UMAP_SPARSE_BITS nonzero-self-distance directed 2 0
UMAP_SPARSE_BITS nonzero-self-distance weights 2 1056964608
UMAP_SPARSE_BITS nonzero-self-distance directed 3 1062903186
UMAP_SPARSE_BITS nonzero-self-distance weights 3 1054514578
UMAP_SPARSE_BITS nonzero-self-distance directed 4 0
UMAP_SPARSE_BITS nonzero-self-distance weights 4 1051634953
UMAP_SPARSE_BITS nonzero-self-distance directed 5 629145597
UMAP_SPARSE_BITS nonzero-self-distance weights 5 1051795165
UMAP_SPARSE_BITS nonzero-self-distance directed 6 0
UMAP_SPARSE_BITS nonzero-self-distance weights 6 0
UMAP_SPARSE_BITS nonzero-self-distance directed 7 1065353216
UMAP_SPARSE_BITS nonzero-self-distance weights 7 1056964608
UMAP_SPARSE_BITS nonzero-self-distance directed 8 0
UMAP_SPARSE_BITS nonzero-self-distance weights 8 1056964608
UMAP_SPARSE_BITS nonzero-self-distance directed 9 1065353216
UMAP_SPARSE_BITS nonzero-self-distance weights 9 1065353216
UMAP_SPARSE_BITS nonzero-self-distance directed 10 1065353216
UMAP_SPARSE_BITS nonzero-self-distance weights 10 1056964608
UMAP_SPARSE_BITS nonzero-self-distance directed 11 0
UMAP_SPARSE_BITS nonzero-self-distance weights 11 1056964608
UMAP_SPARSE_BITS nonzero-self-distance directed 12 0
UMAP_SPARSE_BITS nonzero-self-distance weights 12 0
UMAP_SPARSE_BITS nonzero-self-distance directed 13 0
UMAP_SPARSE_BITS nonzero-self-distance weights 13 1056964608
UMAP_SPARSE_BITS nonzero-self-distance directed 14 1058944890
UMAP_SPARSE_BITS nonzero-self-distance weights 14 1050556282
UMAP_SPARSE_BITS nonzero-self-distance directed 15 0
UMAP_SPARSE_BITS nonzero-self-distance weights 15 1054514578
UMAP_SPARSE_BITS nonzero-self-distance directed 16 1065353216
UMAP_SPARSE_BITS nonzero-self-distance weights 16 1056964608
UMAP_SPARSE_BITS nonzero-self-distance directed 17 1065353216
UMAP_SPARSE_BITS nonzero-self-distance weights 17 1056964608
UMAP_SPARSE_BITS nonzero-self-distance directed 18 0
UMAP_SPARSE_BITS nonzero-self-distance weights 18 0
UMAP_SPARSE_BITS nonzero-self-distance directed 19 0
UMAP_SPARSE_BITS nonzero-self-distance weights 19 1042458094
UMAP_SPARSE_BITS nonzero-self-distance directed 20 1060023561
UMAP_SPARSE_BITS nonzero-self-distance weights 20 1051634953
UMAP_SPARSE_BITS nonzero-self-distance directed 21 1065353216
UMAP_SPARSE_BITS nonzero-self-distance weights 21 1065353216
UMAP_SPARSE_BITS nonzero-self-distance directed 22 0
UMAP_SPARSE_BITS nonzero-self-distance weights 22 1050556282
UMAP_SPARSE_BITS nonzero-self-distance directed 23 1050846702
UMAP_SPARSE_BITS nonzero-self-distance weights 23 1042458094
UMAP_SPARSE_BITS nonzero-self-distance directed 24 0
UMAP_SPARSE_BITS nonzero-self-distance weights 24 0
UMAP_SPARSE_CASE_PASS nonzero-self-distance
UMAP_SPARSE_BITS coincident-tied-points rho 0 0
UMAP_SPARSE_BITS coincident-tied-points sigma 0 528482304
UMAP_SPARSE_BITS coincident-tied-points rho 1 0
UMAP_SPARSE_BITS coincident-tied-points sigma 1 528482304
UMAP_SPARSE_BITS coincident-tied-points rho 2 0
UMAP_SPARSE_BITS coincident-tied-points sigma 2 528482304
UMAP_SPARSE_BITS coincident-tied-points directed 0 0
UMAP_SPARSE_BITS coincident-tied-points weights 0 0
UMAP_SPARSE_BITS coincident-tied-points directed 1 1065353216
UMAP_SPARSE_BITS coincident-tied-points weights 1 1065353216
UMAP_SPARSE_BITS coincident-tied-points directed 2 1065353216
UMAP_SPARSE_BITS coincident-tied-points weights 2 1065353216
UMAP_SPARSE_BITS coincident-tied-points directed 3 1065353216
UMAP_SPARSE_BITS coincident-tied-points weights 3 1065353216
UMAP_SPARSE_BITS coincident-tied-points directed 4 0
UMAP_SPARSE_BITS coincident-tied-points weights 4 0
UMAP_SPARSE_BITS coincident-tied-points directed 5 1065353216
UMAP_SPARSE_BITS coincident-tied-points weights 5 1065353216
UMAP_SPARSE_BITS coincident-tied-points directed 6 1065353216
UMAP_SPARSE_BITS coincident-tied-points weights 6 1065353216
UMAP_SPARSE_BITS coincident-tied-points directed 7 1065353216
UMAP_SPARSE_BITS coincident-tied-points weights 7 1065353216
UMAP_SPARSE_BITS coincident-tied-points directed 8 0
UMAP_SPARSE_BITS coincident-tied-points weights 8 0
UMAP_SPARSE_CASE_PASS coincident-tied-points
UMAP_SPARSE_BITS signed-zero rho 0 0
