NOTE: --lanes scopes this diff to 4 lane(s); 162 other lane(s) the JSONs carry are not compared
NOTE: column cpu-amd-epyc-9754-128-core-processor is a CPU column: cpu_model='AMD EPYC 9754 128-Core Processor' column=cpu families=['_mojolearn_core_host', '_mojolearn_forest_host', '_mojolearn_gbdt_host'] commit=6beb3d394baf21dad5381f2ca11cc043c774dbcf
| lane/fixture                 | verdict    | apple-m4         | nvidia-h100-sm_90a | amd-mi325x-gfx942 | cpu-amd-epyc-9754-128-core-processor |
|------------------------------|------------|------------------|------------------|------------------|------------------|
| gbdt-pointwise-l2-bayesian-eval/negative | batch  | IDENTICAL x4 | dee639c44dd07990 | dee639c44dd07990 | dee639c44dd07990 | dee639c44dd07990 |
| gbdt-pointwise-l2-bayesian-eval/odd | infer  | IDENTICAL x4 | e1aec5dad8dc37f0 | e1aec5dad8dc37f0 | e1aec5dad8dc37f0 | e1aec5dad8dc37f0 |
| gbdt-pointwise-l2-bayesian-eval/odd | model  | IDENTICAL x4 | 6ea8282d329c6c7e | 6ea8282d329c6c7e | 6ea8282d329c6c7e | 6ea8282d329c6c7e |
| gbdt-pointwise-l2-bayesian-eval/odd | batch  | IDENTICAL x4 | 149b530e8adbf44b | 149b530e8adbf44b | 149b530e8adbf44b | 149b530e8adbf44b |
| gbdt-pointwise-l2-bayesian-eval/ties | infer  | IDENTICAL x4 | 92b20ebae1dabad7 | 92b20ebae1dabad7 | 92b20ebae1dabad7 | 92b20ebae1dabad7 |
| gbdt-pointwise-l2-bayesian-eval/ties | model  | IDENTICAL x4 | 293e124b96e008e4 | 293e124b96e008e4 | 293e124b96e008e4 | 293e124b96e008e4 |
| gbdt-pointwise-l2-bayesian-eval/ties | batch  | IDENTICAL x4 | 405d98bc60e93077 | 405d98bc60e93077 | 405d98bc60e93077 | 405d98bc60e93077 |
| gbdt-pointwise-l2-bayesian-eval/wide | infer  | IDENTICAL x4 | 194456fd0ea51325 | 194456fd0ea51325 | 194456fd0ea51325 | 194456fd0ea51325 |
| gbdt-pointwise-l2-bayesian-eval/wide | model  | IDENTICAL x4 | 9ca08d3b891657ed | 9ca08d3b891657ed | 9ca08d3b891657ed | 9ca08d3b891657ed |
| gbdt-pointwise-l2-bayesian-eval/wide | batch  | IDENTICAL x4 | 86f88156299d777e | 86f88156299d777e | 86f88156299d777e | 86f88156299d777e |

summary (infer/model): IDENTICAL=72
summary (batch): IDENTICAL=36
summary (rlpair): 
require-columns 4 over ['gbdt-categorical-ctr', 'gbdt-feature-freq', 'gbdt-ordered-rmse', 'gbdt-pointwise-l2-bayesian-eval']: OK
