NOTE: --lanes scopes this diff to 31 lane(s); 135 other lane(s) the JSONs carry are not compared
| lane/fixture                 | verdict    | nvidia-2xh100-sm_90a | amd-2xmi300x-gfx942 | apple-m4         | nvidia-h100-sm_90a | amd-mi325x-gfx942 |
| par-forest/denormal_ftz      | IDENTICAL x5 | 9ee018b4ad7d8c6c | 9ee018b4ad7d8c6c | 9ee018b4ad7d8c6c | 9ee018b4ad7d8c6c | 9ee018b4ad7d8c6c |
| par-forest/dupes             | IDENTICAL x5 | 941ea7485b906b92 | 941ea7485b906b92 | 941ea7485b906b92 | 941ea7485b906b92 | 941ea7485b906b92 |
| par-forest/hashed            | IDENTICAL x5 | 30000a54b1ebf87f | 30000a54b1ebf87f | 30000a54b1ebf87f | 30000a54b1ebf87f | 30000a54b1ebf87f |
| par-forest/negative          | IDENTICAL x5 | 5c321c2a1e99f705 | 5c321c2a1e99f705 | 5c321c2a1e99f705 | 5c321c2a1e99f705 | 5c321c2a1e99f705 |
| par-forest/odd               | IDENTICAL x5 | 8eadf0d0c523cf9a | 8eadf0d0c523cf9a | 8eadf0d0c523cf9a | 8eadf0d0c523cf9a | 8eadf0d0c523cf9a |
| par-forest/ties              | IDENTICAL x5 | 578c313bdad14449 | 578c313bdad14449 | 578c313bdad14449 | 578c313bdad14449 | 578c313bdad14449 |
| par-forest/wide              | IDENTICAL x5 | e57dc48ebb4fda48 | e57dc48ebb4fda48 | e57dc48ebb4fda48 | e57dc48ebb4fda48 | e57dc48ebb4fda48 |
| par-gp/base                  | IDENTICAL x5 | f7ebb1bac826fe67 | f7ebb1bac826fe67 | f7ebb1bac826fe67 | f7ebb1bac826fe67 | f7ebb1bac826fe67 |
| par-gp/denormal              | IDENTICAL x5 | 8b3f8272862d6062 | 8b3f8272862d6062 | 8b3f8272862d6062 | 8b3f8272862d6062 | 8b3f8272862d6062 |
| par-gp/denormal_ftz          | IDENTICAL x5 | 8b3f8272862d6062 | 8b3f8272862d6062 | 8b3f8272862d6062 | 8b3f8272862d6062 | 8b3f8272862d6062 |
| par-gp/dupes                 | IDENTICAL x5 | aa19bc38e1743968 | aa19bc38e1743968 | aa19bc38e1743968 | aa19bc38e1743968 | aa19bc38e1743968 |
| par-gp/hashed                | IDENTICAL x5 | 8ab241df41f2f643 | 8ab241df41f2f643 | 8ab241df41f2f643 | 8ab241df41f2f643 | 8ab241df41f2f643 |
| par-gp/negative              | IDENTICAL x5 | dba43c8c1d922070 | dba43c8c1d922070 | dba43c8c1d922070 | dba43c8c1d922070 | dba43c8c1d922070 |
| par-gp/odd                   | IDENTICAL x5 | daa5872e8d220a31 | daa5872e8d220a31 | daa5872e8d220a31 | daa5872e8d220a31 | daa5872e8d220a31 |
| par-gp/ties                  | IDENTICAL x5 | 9231702dbdd1b410 | 9231702dbdd1b410 | 9231702dbdd1b410 | 9231702dbdd1b410 | 9231702dbdd1b410 |
| par-gp/wide                  | IDENTICAL x5 | 70f282e5998ec6ce | 70f282e5998ec6ce | 70f282e5998ec6ce | 70f282e5998ec6ce | 70f282e5998ec6ce |
| par-gram/base                | IDENTICAL x5 | a91478be750dc756 | a91478be750dc756 | a91478be750dc756 | a91478be750dc756 | a91478be750dc756 |
| par-gram/denormal            | IDENTICAL x5 | 2eed6e454ed965da | 2eed6e454ed965da | 2eed6e454ed965da | 2eed6e454ed965da | 2eed6e454ed965da |
| par-gram/denormal_ftz        | IDENTICAL x5 | 2eed6e454ed965da | 2eed6e454ed965da | 2eed6e454ed965da | 2eed6e454ed965da | 2eed6e454ed965da |
| par-gram/dupes               | IDENTICAL x5 | c69b8fef7932da21 | c69b8fef7932da21 | c69b8fef7932da21 | c69b8fef7932da21 | c69b8fef7932da21 |
| par-gram/hashed              | IDENTICAL x5 | fb5037b3d70d60ee | fb5037b3d70d60ee | fb5037b3d70d60ee | fb5037b3d70d60ee | fb5037b3d70d60ee |
| par-gram/negative            | IDENTICAL x5 | 473e3ff40fc67b0e | 473e3ff40fc67b0e | 473e3ff40fc67b0e | 473e3ff40fc67b0e | 473e3ff40fc67b0e |
| par-gram/odd                 | IDENTICAL x5 | bdaf14e02a8f07ec | bdaf14e02a8f07ec | bdaf14e02a8f07ec | bdaf14e02a8f07ec | bdaf14e02a8f07ec |
| par-gram/ties                | IDENTICAL x5 | 42410e35cdae30cb | 42410e35cdae30cb | 42410e35cdae30cb | 42410e35cdae30cb | 42410e35cdae30cb |
| par-gram/wide                | IDENTICAL x5 | 7215c2605901cdc6 | 7215c2605901cdc6 | 7215c2605901cdc6 | 7215c2605901cdc6 | 7215c2605901cdc6 |
| par-graph-agglomerative/base | IDENTICAL x5 | 6c9e7daffb48878f | 6c9e7daffb48878f | 6c9e7daffb48878f | 6c9e7daffb48878f | 6c9e7daffb48878f |
| par-graph-agglomerative/denormal | IDENTICAL x5 | 32a85ba63aeea62c | 32a85ba63aeea62c | 32a85ba63aeea62c | 32a85ba63aeea62c | 32a85ba63aeea62c |
| par-graph-agglomerative/denormal_ftz | IDENTICAL x5 | 32a85ba63aeea62c | 32a85ba63aeea62c | 32a85ba63aeea62c | 32a85ba63aeea62c | 32a85ba63aeea62c |
| par-graph-agglomerative/dupes | IDENTICAL x5 | 6c9e7daffb48878f | 6c9e7daffb48878f | 6c9e7daffb48878f | 6c9e7daffb48878f | 6c9e7daffb48878f |
| par-graph-agglomerative/hashed | IDENTICAL x5 | c8df70938834dd47 | c8df70938834dd47 | c8df70938834dd47 | c8df70938834dd47 | c8df70938834dd47 |
| par-graph-agglomerative/negative | IDENTICAL x5 | 66ecfd892fa3e932 | 66ecfd892fa3e932 | 66ecfd892fa3e932 | 66ecfd892fa3e932 | 66ecfd892fa3e932 |
| par-graph-agglomerative/odd  | IDENTICAL x5 | 7ef92e7a27f33416 | 7ef92e7a27f33416 | 7ef92e7a27f33416 | 7ef92e7a27f33416 | 7ef92e7a27f33416 |
| par-graph-agglomerative/ties | IDENTICAL x5 | e0ddbabe3fa9e85c | e0ddbabe3fa9e85c | e0ddbabe3fa9e85c | e0ddbabe3fa9e85c | e0ddbabe3fa9e85c |
| par-graph-agglomerative/wide | IDENTICAL x5 | b3ac8c835fd42259 | b3ac8c835fd42259 | b3ac8c835fd42259 | b3ac8c835fd42259 | b3ac8c835fd42259 |
| par-graph-spectral/base      | IDENTICAL x5 | 818df233c7e16c40 | 818df233c7e16c40 | 818df233c7e16c40 | 818df233c7e16c40 | 818df233c7e16c40 |
| par-graph-spectral/denormal  | IDENTICAL x5 | f39c1218d8a74f8b | f39c1218d8a74f8b | f39c1218d8a74f8b | f39c1218d8a74f8b | f39c1218d8a74f8b |
| par-graph-spectral/denormal_ftz | IDENTICAL x5 | f39c1218d8a74f8b | f39c1218d8a74f8b | f39c1218d8a74f8b | f39c1218d8a74f8b | f39c1218d8a74f8b |
| par-graph-spectral/dupes     | IDENTICAL x5 | 818df233c7e16c40 | 818df233c7e16c40 | 818df233c7e16c40 | 818df233c7e16c40 | 818df233c7e16c40 |
| par-graph-spectral/hashed    | IDENTICAL x5 | bd86f78a854d5280 | bd86f78a854d5280 | bd86f78a854d5280 | bd86f78a854d5280 | bd86f78a854d5280 |
| par-graph-spectral/negative  | IDENTICAL x5 | 1dd3478716bce917 | 1dd3478716bce917 | 1dd3478716bce917 | 1dd3478716bce917 | 1dd3478716bce917 |
| par-graph-spectral/odd       | IDENTICAL x5 | d12243334f847bd4 | d12243334f847bd4 | d12243334f847bd4 | d12243334f847bd4 | d12243334f847bd4 |
| par-graph-spectral/ties      | IDENTICAL x5 | e8aa4ab1fc17b228 | e8aa4ab1fc17b228 | e8aa4ab1fc17b228 | e8aa4ab1fc17b228 | e8aa4ab1fc17b228 |
| par-graph-spectral/wide      | IDENTICAL x5 | 01f7dd9ac7c3fe00 | 01f7dd9ac7c3fe00 | 01f7dd9ac7c3fe00 | 01f7dd9ac7c3fe00 | 01f7dd9ac7c3fe00 |
| par-graph-umap/base          | IDENTICAL x5 | 0721a12446cecbf4 | 0721a12446cecbf4 | 0721a12446cecbf4 | 0721a12446cecbf4 | 0721a12446cecbf4 |
| par-graph-umap/denormal      | IDENTICAL x5 | a6098c1ab1e6f330 | a6098c1ab1e6f330 | a6098c1ab1e6f330 | a6098c1ab1e6f330 | a6098c1ab1e6f330 |
| par-graph-umap/denormal_ftz  | IDENTICAL x5 | a6098c1ab1e6f330 | a6098c1ab1e6f330 | a6098c1ab1e6f330 | a6098c1ab1e6f330 | a6098c1ab1e6f330 |
| par-graph-umap/dupes         | IDENTICAL x5 | 0721a12446cecbf4 | 0721a12446cecbf4 | 0721a12446cecbf4 | 0721a12446cecbf4 | 0721a12446cecbf4 |
| par-graph-umap/hashed        | IDENTICAL x5 | 0f0171065ff80a77 | 0f0171065ff80a77 | 0f0171065ff80a77 | 0f0171065ff80a77 | 0f0171065ff80a77 |
| par-graph-umap/negative      | IDENTICAL x5 | 49fb48d657306b15 | 49fb48d657306b15 | 49fb48d657306b15 | 49fb48d657306b15 | 49fb48d657306b15 |
| par-graph-umap/odd           | IDENTICAL x5 | 6c53ae5fde901119 | 6c53ae5fde901119 | 6c53ae5fde901119 | 6c53ae5fde901119 | 6c53ae5fde901119 |
| par-graph-umap/ties          | IDENTICAL x5 | 0516fc094a7a100f | 0516fc094a7a100f | 0516fc094a7a100f | 0516fc094a7a100f | 0516fc094a7a100f |
| par-graph-umap/wide          | IDENTICAL x5 | 904d2c46da5e7f71 | 904d2c46da5e7f71 | 904d2c46da5e7f71 | 904d2c46da5e7f71 | 904d2c46da5e7f71 |
| par-holtwinters/base         | IDENTICAL x5 | aa71e2e60daefca2 | aa71e2e60daefca2 | aa71e2e60daefca2 | aa71e2e60daefca2 | aa71e2e60daefca2 |
| par-holtwinters/denormal     | IDENTICAL x5 | e33dcd8e2af3c5ed | e33dcd8e2af3c5ed | e33dcd8e2af3c5ed | e33dcd8e2af3c5ed | e33dcd8e2af3c5ed |
