# the batch part of diff.three-columns.txt: every batch row and its summary
|------------------------------|------------|------------------|------------------|------------------|
| byte-lm/odd                  | batch  | IDENTICAL x3 | c44734e41960ea7d | c44734e41960ea7d | c44734e41960ea7d |
| byte-lm/ties                 | batch  | IDENTICAL x3 | 4178e56fb2b92328 | 4178e56fb2b92328 | 4178e56fb2b92328 |
| byte-lm/wide                 | batch  | IDENTICAL x3 | 6d2986674bd92c94 | 6d2986674bd92c94 | 6d2986674bd92c94 |
| cholesky/base                | batch  | IDENTICAL x3 | 4f247a3c9540ed93 | 4f247a3c9540ed93 | 4f247a3c9540ed93 |
| cholesky/denormal            | batch  | IDENTICAL x3 | 6ac1ebde83b416fa | 6ac1ebde83b416fa | 6ac1ebde83b416fa |
| cholesky/denormal_ftz        | batch  | IDENTICAL x3 | 6ac1ebde83b416fa | 6ac1ebde83b416fa | 6ac1ebde83b416fa |
| cholesky/dupes               | batch  | IDENTICAL x3 | 4f247a3c9540ed93 | 4f247a3c9540ed93 | 4f247a3c9540ed93 |
| cholesky/hashed              | batch  | IDENTICAL x3 | 7f5db9df49fa144b | 7f5db9df49fa144b | 7f5db9df49fa144b |
| cholesky/negative            | batch  | IDENTICAL x3 | f8023ba763c7a769 | f8023ba763c7a769 | f8023ba763c7a769 |
| cholesky/odd                 | batch  | IDENTICAL x3 | ff3b58dda958f58c | ff3b58dda958f58c | ff3b58dda958f58c |
| cholesky/ties                | batch  | IDENTICAL x3 | 5d80a4c8eb280505 | 5d80a4c8eb280505 | 5d80a4c8eb280505 |
| cholesky/wide                | batch  | IDENTICAL x3 | 6728544ea8c96949 | 6728544ea8c96949 | 6728544ea8c96949 |
| cross-entropy-arms/base      | batch  | IDENTICAL x3 | baeb27de8f9d5d4e | baeb27de8f9d5d4e | baeb27de8f9d5d4e |
| cross-entropy-arms/denormal  | batch  | IDENTICAL x3 | 368b2890f82387d0 | 368b2890f82387d0 | 368b2890f82387d0 |
| cross-entropy-arms/denormal_ftz | batch  | IDENTICAL x3 | 1742cd6cfd13aced | 1742cd6cfd13aced | 1742cd6cfd13aced |
| cross-entropy-arms/dupes     | batch  | IDENTICAL x3 | 99615b5b7eefcc98 | 99615b5b7eefcc98 | 99615b5b7eefcc98 |
| cross-entropy-arms/hashed    | batch  | IDENTICAL x3 | 6d99f9849e7ebee8 | 6d99f9849e7ebee8 | 6d99f9849e7ebee8 |
| cross-entropy-arms/negative  | batch  | IDENTICAL x3 | 23f90766bcd6066e | 23f90766bcd6066e | 23f90766bcd6066e |
| cross-entropy-arms/odd       | batch  | IDENTICAL x3 | baeb27de8f9d5d4e | baeb27de8f9d5d4e | baeb27de8f9d5d4e |
| cross-entropy-arms/ties      | batch  | IDENTICAL x3 | 71e2174735fef8f2 | 71e2174735fef8f2 | 71e2174735fef8f2 |
| cross-entropy-arms/wide      | batch  | IDENTICAL x3 | dd64b8e660d6e999 | dd64b8e660d6e999 | dd64b8e660d6e999 |
| cross-val/base               | batch  | N/A          | n/a:function     | n/a:function     | n/a:function     |
| cross-val/denormal           | batch  | N/A          | n/a:function     | n/a:function     | n/a:function     |
| cross-val/denormal_ftz       | batch  | N/A          | n/a:function     | n/a:function     | n/a:function     |
| cross-val/dupes              | batch  | N/A          | n/a:function     | n/a:function     | n/a:function     |
| cross-val/hashed             | batch  | N/A          | n/a:function     | n/a:function     | n/a:function     |
| cross-val/negative           | batch  | N/A          | n/a:function     | n/a:function     | n/a:function     |
| cross-val/odd                | batch  | N/A          | n/a:function     | n/a:function     | n/a:function     |
| cross-val/ties               | batch  | N/A          | n/a:function     | n/a:function     | n/a:function     |
| cross-val/wide               | batch  | N/A          | n/a:function     | n/a:function     | n/a:function     |
| dbscan-brute-l1/base         | batch  | N/A          | n/a:transductive | n/a:transductive | n/a:transductive |
| dbscan-brute-l1/denormal     | batch  | N/A          | n/a:transductive | n/a:transductive | n/a:transductive |
| dbscan-brute-l1/denormal_ftz | batch  | N/A          | n/a:transductive | n/a:transductive | n/a:transductive |
| dbscan-brute-l1/dupes        | batch  | N/A          | n/a:transductive | n/a:transductive | n/a:transductive |
