3328 external/tcmalloc+/tcmalloc/internal/system_allocator.h:713] Warning: Unable to mbind memory (errno=1, base=0x112800000000, nodemask=1)
3328 external/tcmalloc+/tcmalloc/internal/system_allocator.h:713] Warning: Unable to mbind memory (errno=1, base=0x7bd0c0000000, nodemask=2)
# vendor=nvidia-nvidia-h100-80gb-hbm3-sm_90a commit=71faae7815f4c93921de494b9f1625e7c1abf821 (commit.txt)
# identity_break  mode=identical  2026-09-14 11:20:46  Linux-6.8.0-106-generic-x86_64-with-glibc2.35
# per lane: the train row, then an `infer` row (held-out rows) and a `model` row (saved bytes) where the lane has them
| lane                   | base             | ties             | hashed           | wide             | denormal         | denormal_ftz     | dupes            | odd              | negative         |
| arima                  | 377790cb117abb61 | 990e96a6d7fd2874 | d4ed8b9405da9691 | 440f5eba6a3ddede | 7dbefd70378dfac6 | 7dbefd70378dfac6 | 377790cb117abb61 | 20bf64323fc5fa12 | 29f18fa209679839 |
| arima infer            | 9f76be0396a666ca | e699bca0934688f0 | 06461dad67cfb784 | 956bebc3f45a1c69 | aab930a9e876ec1e | aab930a9e876ec1e | 9f76be0396a666ca | 4aa662dbcc728e65 | 4e0defb4e0feb99f |
| gp                     | ea70c56b99a74791 | c92496318cb78403 | f01c58a79fb1af27 | ca779c84b786d493 | f0986dd9686ae3c2 | f0986dd9686ae3c2 | fba9e6f4ea05af2c | cbdbd1248c92a3f8 | 40fd2f479f775ec4 |
| gp infer               | 1e032c58b3e9cd14 | 22b0b528124de8d0 | 6eec04108625b28e | 890cda1ff831faab | 353cd97119d0e754 | 353cd97119d0e754 | 52e6b306c452f16c | 9e3f1cf6c455f0fa | b2713d53a58fa4c9 |
| umap                   | ab4c3cd4fd49687a | f8e184c57a909342 | 599b7220e7521ae8 | fc649bf2d55856cd | cbe8436743821717 | cbe8436743821717 | ab4c3cd4fd49687a | 957d02d6d6f9dc71 | 21f603efa2721d85 |
| umap infer             | 5a4ef62db605973a | cfe8cc2494350a30 | aa9e7249278630e5 | 99d9533a655689c9 | 278fb3d51d1c9b82 | 278fb3d51d1c9b82 | 5a4ef62db605973a | 4a46872567fef4d1 | 96a457e7da0684ae |
| radius                 | b4fa4ebf9623f5d0 | d4e4484a004f4042 | cdc57602d696879d | 4ea06c29cad72c3a | b31c83097872381e | b31c83097872381e | ad02d42d5b3fded7 | 99a3e94304f0d55a | 4b7b50fe64e2d7af |
| radius infer           | 3eb3a2ab621fbb97 | 5f3eec45e2afb437 | 362bee6da9e01a6a | 2561486a5ba9ea00 | 0d8e5847c0de67f1 | 0d8e5847c0de67f1 | 469e7731aa72a0fd | ef0450b6bc48f488 | 9a8506316edc0a0a |
| standard-scaler        | 9954d8aba9fdfba3 | dc97bf1ab9890a0f | e9675c57b4a95c8f | 20a74ee4504bf472 | 87862ff4b450f03a | 87862ff4b450f03a | 70e05276ca28159d | 24632a63d5c0debd | 252a531100f1ae68 |
| standard-scaler infer  | fa0fbdef7ccae250 | 4c66195589867f60 | fc7e9239e772ec64 | 3e17d9ac3db242ba | d0a324ba42db1e9c | d0a324ba42db1e9c | 89d88a83a11d2485 | 6a7a884532f89e93 | bd2b7e506db725c8 |
| minmax-scaler          | 646b46cf73ead58e | fcaf2c976dae67d9 | 4260fe8f43ec10b2 | 77b3a6c235e5a346 | 760381e656d7edc6 | 760381e656d7edc6 | 768f7054da806434 | 803149932ba8b2da | b1d799cf9b13f224 |
| minmax-scaler infer    | 5b934842e164f80f | 6717b6636f5595fc | b97dad3c566f105a | 6577f1b08a4a0b8d | 17c9e6cc1a1bfd82 | 17c9e6cc1a1bfd82 | cb07d5eb86d27807 | c170795fb6119629 | b386904f1b2473e2 |
| gbdt-ordered-rmse      | a6e77b5224108785 | 563f339900c22c9d | 30d789002f114183 | 356a38c2904749c0 | 67483c1b821234ac | 2a44bb38f86cd4ec | 1e39bd4034194fb0 | d83c83930af5d802 | 50eaef5f0c669042 |
| gbdt-ordered-rmse infer | 3113f83d552f6e3e | ca0189610e51bc17 | 405de4dd63f5341a | 7172e83c3f745933 | 52d52c2862c2d480 | 9f09dbf44c4ea866 | 957a66a8423c3f6d | c7f0cb99b920a716 | 82e128c769eb2778 |
| gbdt-ordered-rmse model | 43540d21322226ab | f9192cb03ecc6ece | e3e28f37057e2029 | a9b709a9373fae6f | ba60376e07b69433 | 7997d9773285efc3 | c73190381d66d9bf | 4d02412a6fa569f9 | 91ecd6c2cdf861d2 |
| gbdt-feature-freq      | 7d9c56b51213cb42 | 57ff9964d1af1d4a | 9d97a55431b6f8e0 | c6d7fccba2483372 | e7f1da14d1a9794b | e7f1da14d1a9794b | e8c61a9407503755 | c481331145bfb998 | 75028913a14bb938 |
| gbdt-feature-freq infer | 95b976d85efc7f2d | 41371bafcf6397a3 | cf308a4c656bfbdc | 2a4274996f907f13 | 973775798c10da25 | 973775798c10da25 | 3a9423e4f0d23cad | 711887d930537c47 | 5a5944c8b884be8c |
| gbdt-feature-freq model | b2959e177eb6e088 | a7417c31e1b422b4 | bf3222bbcdf1f476 | 6b7d9eddfa4b79b6 | d6c30648533bdf45 | d6c30648533bdf45 | 531909ad2026b783 | 53a4160101e38573 | 0794be87633fd36b |
| mlp                    | 3204ed07bdda3cc6 | 2f08d18719517d3b | 977a37258af573f0 | 7d2d9a297e5f0507 | 9c56c5a5b7965c6f | 9c56c5a5b7965c6f | 3204ed07bdda3cc6 | 451d36242d1772be | 3909a61277aad132 |
| mlp infer              | 8579effb0c3bce0c | 24de7ab7c4fa8961 | 2a2a2fa13c1a9d09 | e8f14347fb98d76c | 85ed38b4e205ec3d | 85ed38b4e205ec3d | 8579effb0c3bce0c | aabc85120783aee2 | ad625a503e52af18 |
| mlp model              | dc9325976836b5a7 | 59bc3962a0a7dff3 | eab3763d7650b574 | 6511b16cc41d348c | a8aa2cac54c85346 | a8aa2cac54c85346 | dc9325976836b5a7 | c3a804a88824ef31 | 92b7a4caa22f919b |
| byte-lm                | f9a8d760f503f795 | b6939352795ff292 | e1937509a223711e | f06570ace1982aab | 9f7725f93b3c2400 | 65bde5a2fb67dfdb | 9d9fe9205064bac3 | f9a8d760f503f795 | 2ac343da560e4d31 |
| byte-lm infer          | 220885cbd8d2f82f | efab6527ef0195aa | d9a8ae1211de63a8 | d9cdc033be91d67a | 16c555cc1776f127 | 21c7e2e9e4e3c163 | a76dcc66f0b0b3d6 | 220885cbd8d2f82f | feaf17f14d1fa224 |
| byte-lm model          | b1d65b99997911c5 | 947981070e61e180 | 0fa0ffc6bdf7e8da | 24cbda1caad25158 | 90d95bea0a099246 | ff9e808d37f12ae2 | 78870cb1fb90caf6 | b1d65b99997911c5 | a6aa56e3723d26e7 |
| byte-lm-host-infer     | 9a22cf6df14a6ca8 | 5eb6c37f486dcb83 | 23284f15a5a13f7e | 144b4e7374436e15 | dad5258f043269c3 | d1af362bc6ad2ecf | 21c1595573e0f858 | 9a22cf6df14a6ca8 | 957bc9055db7588f |
| byte-lm-host-infer infer | b67a1f3d482ffaca | 8ac5fad2d951d6cb | 25857576546d1442 | ec2a92c6e7abd69a | fa0cd27e307b2aba | e30c916c3d69584a | a53e0a81c9acf494 | b67a1f3d482ffaca | 418815fcec6e602a |
| byte-lm-host-train     | 04d7452abeb7ae7a | 5ac1bffdd360961f | 915a8a6b7e5f5bf3 | 1d86e5f486b3cb10 | 5dacd27d99b63ea8 | ce4b89211b242e2a | 3e3bf4a1d2093466 | 04d7452abeb7ae7a | c2e69d5d4aba426e |
| byte-lm-host-train infer | 6a8e53d94e8b1afa | ddfcbd65895588a5 | dd72b3b1eb49793b | e53e1904ba3c463a | d4ae338da5ee9016 | 46d9288ab71bf45c | 223804b7883310c6 | 6a8e53d94e8b1afa | 8d8111383b957c25 |
