NOTE: --lanes scopes this diff to 3 lane(s); 163 other lane(s) the JSONs carry are not compared
NOTE: column cpu-apple-m4 is a CPU column: cpu_model='Apple M4' column=cpu families=['_mojolearn_core_host', '_mojolearn_linalg_host', '_mojolearn_neural_host', '_mojolearn_training_host', '_mojolearn_transformer_host'] commit=fecde81e041be7edbfa44580e68b7016678ebe57
| lane/fixture                 | verdict    | apple-m4         | nvidia-h100-sm_90a | amd-mi325x-gfx942 | cpu-apple-m4     |
|------------------------------|------------|------------------|------------------|------------------|------------------|
| transformer/negative         | rlpair | NOT-COMPARED | (no column)      | (no column)      | (no column)      | 0b99fe53b0eaa46a |
| transformer/odd              | infer  | DIVERGENT    | d658bafd272776e1 | d658bafd272776e1 | d658bafd272776e1 | 07f9d37e77d87002 |
| transformer/odd              | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| transformer/odd              | batch  | DIVERGENT    | 321df8136b576084 | 321df8136b576084 | 321df8136b576084 | 0b12906fcf644a41 |
| transformer/odd              | rlpair | NOT-COMPARED | (no column)      | (no column)      | (no column)      | 41c065998015307c |
| transformer/ties             | infer  | DIVERGENT    | f222fca146b15f94 | f222fca146b15f94 | f222fca146b15f94 | 0cdfdcf7e79a3a95 |
| transformer/ties             | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| transformer/ties             | batch  | DIVERGENT    | 8548d6f52de06b7b | 8548d6f52de06b7b | 8548d6f52de06b7b | 42b2fafa1e1ed92b |
| transformer/ties             | rlpair | NOT-COMPARED | (no column)      | (no column)      | (no column)      | 88f6733750d71307 |
| transformer/wide             | infer  | DIVERGENT    | 976e818c75ac481c | 976e818c75ac481c | 976e818c75ac481c | 477d523e8a69477d |
| transformer/wide             | model  | N/A          | n/a:no-save      | n/a:no-save      | n/a:no-save      | n/a:no-save      |
| transformer/wide             | batch  | DIVERGENT    | a487428103ce49a8 | a487428103ce49a8 | a487428103ce49a8 | 3f9de0dc9d751d87 |
| transformer/wide             | rlpair | NOT-COMPARED | (no column)      | (no column)      | (no column)      | f7b820c4caf9e16d |

summary (infer/model): DIVERGENT=27, IDENTICAL=9, N/A=18
summary (batch): DIVERGENT=27
summary (rlpair): NOT-COMPARED=18
